#code	score
3coz_103	-7.6256475
3coz_108	-8.022125
3coz_112	-7.7862535
3coz_117	-8.129521
3coz_128	-7.6746755
3coz_136	-8.539214
3coz_141	-8.161402
3coz_167	-7.6936526
3coz_173	-8.055702
3coz_176	-7.5426826
3coz_17	-7.7227445
3coz_203	-8.14706
3coz_206	-8.200893
3coz_20	-7.4858055
3coz_212	-7.9474616
3coz_214	-8.189125
3coz_220	-7.7947526
3coz_221	-7.801225
3coz_222	-8.097203
3coz_238	-8.263175
3coz_247	-8.305681
3coz_24	-8.031122
3coz_251	-7.838848
3coz_256	-7.917729
3coz_263	-8.007861
3coz_282	-7.4801264
3coz_285	-8.39989
3coz_311	-8.015505
3coz_327	-8.163266
3coz_332	-8.685984
3coz_347	-7.735237
3coz_359	-8.167688
3coz_35	-8.416966
3coz_376	-7.5454974
3coz_388	-8.540583
3coz_393	-8.05093
3coz_401	-8.129651
3coz_405	-7.8974133
3coz_407	-7.3997927
3coz_413	-7.496533
3coz_420	-6.908772
3coz_421	-7.3005967
3coz_436	-8.02631
3coz_43	-7.584266
3coz_440	-6.84765
3coz_459	-8.406169
3coz_45	-7.867534
3coz_464	-7.2580156
3coz_465	-8.1145735
3coz_468	-6.789483
3coz_481	-7.224772
3coz_489	-7.6256413
3coz_493	-8.134003
3coz_515	-8.133375
3coz_518	-7.531619
3coz_523	-7.4041643
3coz_536	-7.3755937
3coz_539	-7.3015246
3coz_540	-6.5458317
3coz_543	-7.964662
3coz_547	-8.175911
3coz_548	-7.5626297
3coz_552	-7.965815
3coz_557	-7.4012613
3coz_558	-8.352341
3coz_55	-8.203395
3coz_561	-7.641977
3coz_565	-7.4532332
3coz_567	-6.526145
3coz_576	-8.562634
3coz_577	-7.7542973
3coz_580	-6.7844086
3coz_593	-7.297872
3coz_594	-6.7887797
3coz_59	-7.9104633
3coz_604	-7.0550613
3coz_605	-7.8546863
3coz_619	-6.927398
3coz_620	-7.3184547
3coz_626	-7.745864
3coz_628	-6.8835387
3coz_637	-7.687156
3coz_642	-8.113573
3coz_654	-7.3632264
3coz_657	-7.7853
3coz_665	-7.932351
3coz_668	-7.377819
3coz_673	-7.756385
3coz_67	-8.015076
3coz_680	-8.650435
3coz_688	-8.145328
3coz_691	-7.103975
3coz_694	-7.3988543
3coz_696	-7.3521414
3coz_726	-8.213322
3coz_7	-7.7392306
3coz_83	-8.065317
3coz_87	-7.416734
3coz_894	-8.200835
