#code	score
3e92_106	-10.765896
3e92_17	-11.000309
3e92_19	-11.102582
3e92_332	-10.686974
3e92_407	-11.103214
3e92_418	-10.4098625
3e92_423	-9.192009
3e92_425	-10.05905
3e92_434	-9.131048
3e92_435	-9.336802
3e92_436	-10.531164
3e92_438	-8.3919325
3e92_446	-9.053164
3e92_449	-8.9292755
3e92_450	-9.491666
3e92_453	-8.676097
3e92_470	-8.538494
3e92_471	-9.342038
3e92_475	-9.060843
3e92_482	-10.155674
3e92_490	-9.938282
3e92_493	-8.971606
3e92_497	-10.025879
3e92_498	-10.154918
3e92_500	-9.153587
3e92_506	-7.1850033
3e92_513	-7.595099
3e92_518	-7.875069
3e92_523	-8.079756
3e92_525	-9.0215845
3e92_526	-7.544893
3e92_528	-9.982611
3e92_534	-7.7278666
3e92_538	-9.710107
3e92_540	-7.418148
3e92_541	-7.3674655
3e92_542	-7.230466
3e92_544	-7.410692
3e92_545	-7.9552794
3e92_546	-6.963386
3e92_547	-10.177615
3e92_551	-7.7920957
3e92_552	-7.678643
3e92_553	-8.010247
3e92_554	-7.9683304
3e92_555	-7.1964893
3e92_557	-7.946833
3e92_560	-7.3289604
3e92_562	-7.89361
3e92_578	-8.099582
3e92_579	-7.0608525
3e92_581	-8.885432
3e92_582	-7.5494814
3e92_588	-7.6981163
3e92_589	-7.6881833
3e92_590	-7.899233
3e92_593	-7.1331263
3e92_594	-8.812808
3e92_596	-9.189738
3e92_597	-8.856318
3e92_598	-7.4855485
3e92_599	-6.957696
3e92_623	-8.34766
3e92_625	-9.203028
3e92_627	-9.351405
3e92_64	-11.157628
3e92_656	-8.154731
3e92_664	-9.755315
3e92_669	-7.219672
3e92_670	-9.762051
3e92_678	-7.883623
3e92_679	-9.153361
3e92_685	-7.566668
3e92_689	-8.056844
3e92_692	-8.250233
3e92_693	-9.11257
3e92_697	-9.414794
3e92_698	-8.169929
3e92_732	-6.903423
3e92_733	-7.2938857
3e92_735	-6.747903
3e92_745	-7.073623
3e92_752	-6.5398426
3e92_758	-7.4879994
3e92_760	-8.219461
3e92_845	-7.4038615
3e92_846	-8.796203
3e92_847	-8.220923
3e92_907	-10.977062
3e92_940	-10.45889
