#code	score
3ge7_11	-7.887711
3ge7_140	-9.259077
3ge7_191	-9.03522
3ge7_24	-9.347737
3ge7_262	-9.03375
3ge7_324	-8.46311
3ge7_404	-8.383495
3ge7_411	-9.111505
3ge7_415	-8.53569
3ge7_424	-8.07688
3ge7_426	-8.158872
3ge7_431	-7.439055
3ge7_443	-8.596699
3ge7_448	-7.687321
3ge7_451	-7.6485047
3ge7_456	-8.238262
3ge7_460	-8.875433
3ge7_465	-8.455665
3ge7_469	-7.774515
3ge7_470	-8.611333
3ge7_480	-8.225895
3ge7_485	-8.87687
3ge7_488	-8.500295
3ge7_490	-8.060088
3ge7_491	-8.693574
3ge7_498	-7.248902
3ge7_523	-7.4290066
3ge7_533	-7.51188
3ge7_536	-7.741954
3ge7_547	-7.6245985
3ge7_552	-7.379478
3ge7_556	-7.3019605
3ge7_561	-7.7142415
3ge7_562	-7.1152225
3ge7_567	-7.7104096
3ge7_571	-6.8653517
3ge7_572	-7.3891797
3ge7_573	-6.489497
3ge7_574	-7.9065585
3ge7_579	-8.316627
3ge7_582	-7.748862
3ge7_583	-8.207641
3ge7_587	-7.806363
3ge7_589	-6.7610917
3ge7_590	-7.0339704
3ge7_594	-7.014846
3ge7_598	-7.184423
3ge7_599	-7.2243557
3ge7_600	-6.332571
3ge7_637	-7.811044
3ge7_638	-8.166801
3ge7_641	-8.631566
3ge7_644	-9.256675
3ge7_651	-8.850452
3ge7_655	-7.9124684
3ge7_658	-7.43839
3ge7_659	-8.004773
3ge7_666	-8.589005
3ge7_667	-8.12662
3ge7_674	-8.129199
3ge7_676	-7.655594
3ge7_683	-8.814413
3ge7_684	-9.610105
3ge7_685	-7.8002586
3ge7_688	-9.032423
3ge7_717	-8.936099
3ge7_718	-8.932758
3ge7_791	-8.666269
3ge7_794	-8.907642
3ge7_795	-8.920363
3ge7_824	-8.917692
3ge7_895	-8.712035
3ge7_898	-8.954676
