#code	score
3jvr_137	-5.289375
3jvr_154	-5.1510067
3jvr_162	-5.3329167
3jvr_168	-5.347098
3jvr_171	-5.294394
3jvr_187	-5.7838507
3jvr_195	-5.4472423
3jvr_210	-5.116658
3jvr_225	-5.262683
3jvr_229	-6.7868247
3jvr_246	-5.235113
3jvr_275	-5.6043344
3jvr_290	-5.914675
3jvr_297	-5.8735485
3jvr_329	-4.993592
3jvr_330	-5.2219815
3jvr_332	-5.428981
3jvr_349	-5.5284204
3jvr_34	-6.2950974
3jvr_355	-5.425931
3jvr_394	-6.34718
3jvr_404	-7.2766476
3jvr_435	-6.6149087
3jvr_441	-7.8028083
3jvr_444	-6.1949983
3jvr_446	-6.730552
3jvr_451	-6.4291863
3jvr_452	-5.7482944
3jvr_457	-5.733879
3jvr_459	-6.894849
3jvr_464	-6.481196
3jvr_468	-5.90465
3jvr_470	-6.2137384
3jvr_471	-7.07533
3jvr_478	-6.429223
3jvr_484	-7.1959324
3jvr_486	-6.650905
3jvr_500	-7.247596
3jvr_505	-7.510482
3jvr_509	-5.212964
3jvr_515	-6.146664
3jvr_523	-7.1822376
3jvr_550	-6.022015
3jvr_554	-6.168547
3jvr_562	-5.418034
3jvr_567	-7.144007
3jvr_579	-6.231412
3jvr_580	-6.456905
3jvr_589	-5.9351015
3jvr_590	-6.857331
3jvr_592	-4.9380617
3jvr_596	-5.244257
3jvr_600	-5.2668247
3jvr_603	-5.8025737
3jvr_604	-7.2282186
3jvr_610	-7.4358974
3jvr_623	-6.0339117
3jvr_627	-5.258906
3jvr_647	-5.3874025
3jvr_650	-5.4111648
3jvr_662	-6.538547
3jvr_673	-6.687825
3jvr_688	-6.2277083
3jvr_689	-6.993294
3jvr_697	-6.926886
3jvr_699	-6.4622583
3jvr_703	-6.628406
3jvr_716	-6.321755
3jvr_726	-6.6177526
3jvr_732	-6.75784
3jvr_739	-5.598437
3jvr_740	-6.2130976
3jvr_742	-6.043957
3jvr_750	-5.340228
3jvr_752	-5.814291
3jvr_755	-6.6013956
3jvr_782	-6.744527
3jvr_79	-5.2135344
3jvr_814	-6.0763683
3jvr_819	-5.9402204
3jvr_822	-6.220433
3jvr_826	-5.7707396
3jvr_827	-5.687739
3jvr_828	-5.2931676
3jvr_82	-5.616239
3jvr_831	-6.5044703
3jvr_836	-6.2130976
3jvr_870	-6.4810963
3jvr_884	-6.279244
3jvr_890	-6.3538694
3jvr_893	-6.3747053
3jvr_8	-5.3712974
3jvr_923	-6.4599266
3jvr_932	-5.965974
3jvr_99	-5.809688
