#code	score
3mss_101	-6.292927
3mss_141	-6.3083577
3mss_18	-6.398752
3mss_197	-6.6034837
3mss_214	-7.23254
3mss_239	-7.077025
3mss_23	-5.977674
3mss_244	-7.3696775
3mss_264	-6.3599157
3mss_311	-6.275937
3mss_386	-6.372413
3mss_3	-6.351499
3mss_401	-6.5930905
3mss_412	-6.546634
3mss_424	-6.819187
3mss_433	-6.360196
3mss_434	-6.520926
3mss_443	-5.5247645
3mss_445	-6.7373614
3mss_448	-6.1102877
3mss_451	-6.822131
3mss_458	-5.6427207
3mss_459	-6.371881
3mss_465	-5.551934
3mss_466	-5.6732516
3mss_467	-6.6056848
3mss_475	-5.9026575
3mss_476	-5.8537097
3mss_487	-6.927167
3mss_499	-6.0589976
3mss_507	-6.3079586
3mss_518	-5.647632
3mss_522	-5.6726103
3mss_534	-6.1691294
3mss_546	-5.5592194
3mss_548	-5.6383452
3mss_555	-6.192274
3mss_561	-5.969716
3mss_568	-6.683452
3mss_571	-5.806436
3mss_574	-5.5145493
3mss_576	-5.970703
3mss_591	-4.727809
3mss_621	-6.518975
3mss_628	-6.009979
3mss_64	-6.1705976
3mss_653	-6.516332
3mss_665	-6.415982
3mss_668	-6.219812
3mss_669	-5.609152
3mss_678	-6.3192196
3mss_680	-5.43471
3mss_681	-5.2876844
3mss_682	-5.7429695
3mss_684	-6.207095
3mss_689	-5.16395
3mss_697	-5.5433984
3mss_730	-6.145946
3mss_737	-6.268979
3mss_747	-7.504405
3mss_74	-6.0685816
3mss_757	-6.5614657
3mss_758	-5.8157687
3mss_765	-6.140813
3mss_792	-6.737509
3mss_79	-6.248169
3mss_800	-6.207841
3mss_812	-6.249562
3mss_827	-5.216585
3mss_82	-5.9905176
3mss_836	-5.286039
3mss_840	-5.625939
3mss_856	-6.1644588
3mss_869	-6.1953106
3mss_873	-5.422913
3mss_946	-5.934445
3mss_948	-5.50941
3mss_94	-6.3064647
3mss_952	-7.6136003
3mss_96	-5.982455
3mss_971	-7.134034
3mss_974	-7.317993
3mss_9	-6.7224197
