#code	score
3nw9_105	-9.7346525
3nw9_123	-8.218425
3nw9_124	-8.927619
3nw9_134	-9.239799
3nw9_140	-8.762949
3nw9_142	-7.7809
3nw9_149	-9.372553
3nw9_151	-8.7413845
3nw9_153	-10.930938
3nw9_159	-7.6066546
3nw9_162	-8.891388
3nw9_163	-9.902674
3nw9_166	-9.855551
3nw9_172	-11.441937
3nw9_176	-9.658462
3nw9_183	-7.905213
3nw9_190	-9.524033
3nw9_204	-10.849135
3nw9_20	-8.728851
3nw9_210	-11.1073265
3nw9_212	-11.359454
3nw9_239	-11.787485
3nw9_240	-11.1513
3nw9_263	-11.502169
3nw9_264	-11.162836
3nw9_26	-9.984751
3nw9_315	-9.092428
3nw9_329	-10.8335495
3nw9_348	-10.095412
3nw9_355	-8.158413
3nw9_398	-9.228027
3nw9_399	-8.416004
3nw9_401	-9.998898
3nw9_406	-11.3115
3nw9_409	-11.461563
3nw9_414	-8.969179
3nw9_423	-10.906904
3nw9_427	-10.497956
3nw9_433	-11.179205
3nw9_435	-10.050116
3nw9_437	-10.282357
3nw9_438	-10.568123
3nw9_441	-9.978172
3nw9_444	-8.805726
3nw9_446	-7.57665
3nw9_455	-8.781738
3nw9_466	-10.716855
3nw9_471	-9.465563
3nw9_473	-8.538665
3nw9_479	-10.35156
3nw9_491	-10.38069
3nw9_497	-10.268674
3nw9_506	-9.598909
3nw9_511	-7.144417
3nw9_518	-8.582985
3nw9_534	-6.912514
3nw9_538	-9.088263
3nw9_541	-10.01477
3nw9_545	-8.845076
3nw9_551	-10.1500225
3nw9_583	-9.220491
3nw9_593	-8.397878
3nw9_594	-9.689797
3nw9_596	-9.924924
3nw9_598	-7.4039855
3nw9_599	-7.077658
3nw9_607	-9.128158
3nw9_609	-10.2935
3nw9_613	-8.198897
3nw9_614	-8.683295
3nw9_621	-8.405602
3nw9_629	-8.799745
3nw9_640	-9.686342
3nw9_641	-8.707637
3nw9_651	-9.361737
3nw9_653	-8.391007
3nw9_656	-9.038767
3nw9_657	-8.281551
3nw9_671	-9.1713915
3nw9_685	-7.7566047
3nw9_688	-9.3615
3nw9_700	-7.8982186
3nw9_70	-11.00714
3nw9_710	-9.3185005
3nw9_715	-10.416312
3nw9_734	-9.563141
3nw9_739	-9.750288
3nw9_749	-10.824876
3nw9_755	-9.256112
3nw9_757	-10.123042
3nw9_766	-10.422138
3nw9_76	-9.478033
3nw9_785	-8.771141
3nw9_786	-9.987569
3nw9_833	-10.866142
3nw9_945	-10.7902975
3nw9_951	-10.937646
3nw9_964	-10.644427
3nw9_975	-10.621738
3nw9_988	-10.656515
