#code	score
3oe4_105	-6.9524193
3oe4_109	-9.223528
3oe4_113	-7.8264933
3oe4_114	-9.265345
3oe4_118	-6.2926803
3oe4_119	-8.23008
3oe4_120	-6.831386
3oe4_12	-8.332127
3oe4_131	-8.405576
3oe4_136	-8.0392
3oe4_137	-9.157189
3oe4_158	-8.552192
3oe4_161	-8.553491
3oe4_17	-6.9483304
3oe4_180	-7.585995
3oe4_189	-7.17877
3oe4_1	-8.163612
3oe4_203	-9.080339
3oe4_20	-9.043962
3oe4_224	-9.427286
3oe4_237	-9.223649
3oe4_279	-10.385738
3oe4_283	-10.601217
3oe4_285	-9.712742
3oe4_288	-8.881835
3oe4_291	-9.318081
3oe4_292	-9.227706
3oe4_29	-7.8818884
3oe4_305	-8.404257
3oe4_312	-9.029253
3oe4_314	-8.628472
3oe4_324	-8.253856
3oe4_328	-8.74828
3oe4_340	-8.845688
3oe4_34	-7.9869695
3oe4_374	-8.483996
3oe4_38	-8.46106
3oe4_404	-10.08947
3oe4_409	-8.845323
3oe4_410	-9.325214
3oe4_413	-10.167213
3oe4_431	-9.951739
3oe4_438	-9.2009115
3oe4_446	-8.957678
3oe4_453	-8.29042
3oe4_457	-7.8478928
3oe4_458	-8.914253
3oe4_468	-8.52861
3oe4_470	-7.6325417
3oe4_478	-8.231394
3oe4_486	-7.55978
3oe4_500	-9.019538
3oe4_506	-9.042598
3oe4_509	-7.1775165
3oe4_518	-9.180223
3oe4_522	-8.37354
3oe4_525	-8.851984
3oe4_528	-6.8769464
3oe4_531	-9.040695
3oe4_544	-8.197213
3oe4_546	-9.2106695
3oe4_551	-7.986497
3oe4_557	-9.165051
3oe4_558	-8.920895
3oe4_561	-6.742582
3oe4_562	-8.043385
3oe4_573	-6.155021
3oe4_574	-9.512566
3oe4_578	-8.543249
3oe4_57	-8.420676
3oe4_597	-8.869453
3oe4_611	-7.1844482
3oe4_615	-8.762474
3oe4_61	-7.68751
3oe4_665	-7.2073183
3oe4_667	-7.6601663
3oe4_66	-8.657163
3oe4_670	-8.001949
3oe4_690	-7.09145
3oe4_70	-9.006126
3oe4_745	-8.1749115
3oe4_74	-9.323075
3oe4_767	-8.039826
3oe4_780	-8.974641
3oe4_781	-7.939698
3oe4_793	-8.242966
3oe4_795	-8.249327
3oe4_796	-7.735142
3oe4_797	-8.278825
3oe4_820	-9.50778
3oe4_82	-8.668642
3oe4_831	-8.427241
3oe4_85	-8.131801
3oe4_89	-8.480692
3oe4_924	-8.637253
3oe4_972	-7.794065
3oe4_992	-8.833027
3oe4_996	-8.265727
