#code	score
3qqs_100	-6.0233626
3qqs_102	-6.194683
3qqs_103	-6.409913
3qqs_105	-5.966127
3qqs_114	-6.2204375
3qqs_157	-6.081873
3qqs_158	-5.861089
3qqs_18	-5.993438
3qqs_324	-6.140204
3qqs_35	-5.848554
3qqs_375	-6.782821
3qqs_386	-6.0842037
3qqs_396	-6.169898
3qqs_404	-6.4843154
3qqs_435	-5.950412
3qqs_447	-6.4833
3qqs_449	-7.6133585
3qqs_465	-7.163873
3qqs_473	-5.8545146
3qqs_485	-6.050042
3qqs_497	-6.2049584
3qqs_498	-6.1762466
3qqs_500	-8.123172
3qqs_505	-5.522869
3qqs_511	-6.0148573
3qqs_533	-5.6059985
3qqs_534	-6.831623
3qqs_538	-5.435895
3qqs_542	-6.2911596
3qqs_545	-4.9942293
3qqs_546	-6.7441163
3qqs_555	-5.8691072
3qqs_574	-6.62436
3qqs_585	-5.787873
3qqs_608	-5.9748783
3qqs_612	-6.0060725
3qqs_625	-5.8383946
3qqs_629	-5.581369
3qqs_632	-5.5968075
3qqs_635	-5.2923594
3qqs_636	-5.124698
3qqs_638	-6.945914
3qqs_639	-5.8977776
3qqs_641	-5.0709753
3qqs_646	-5.6467156
3qqs_648	-6.205512
3qqs_653	-5.6102962
3qqs_654	-5.9721813
3qqs_657	-5.5480185
3qqs_660	-5.835721
3qqs_670	-5.582342
3qqs_679	-5.774011
3qqs_682	-5.066086
3qqs_695	-5.606575
3qqs_696	-5.597103
3qqs_700	-4.5572915
3qqs_715	-6.1441355
3qqs_72	-7.1712523
3qqs_732	-5.775455
3qqs_739	-5.594028
3qqs_751	-4.886833
3qqs_806	-5.707334
3qqs_86	-6.1721544
