#code	score
3rr4_13	-6.9863257
3rr4_2	-6.687872
3rr4_315	-6.8391714
3rr4_369	-7.314994
3rr4_401	-7.1067486
3rr4_418	-6.5850105
3rr4_426	-6.3773475
3rr4_431	-6.989737
3rr4_436	-7.1454988
3rr4_437	-6.9390373
3rr4_449	-6.526636
3rr4_454	-6.3396254
3rr4_458	-6.583743
3rr4_466	-7.0267134
3rr4_476	-5.888877
3rr4_479	-7.489585
3rr4_492	-6.5986505
3rr4_500	-6.8428154
3rr4_523	-7.08682
3rr4_529	-7.08164
3rr4_575	-6.877509
3rr4_578	-6.614529
3rr4_582	-6.80772
3rr4_591	-6.141059
3rr4_592	-5.639912
3rr4_596	-6.341338
3rr4_62	-7.204745
3rr4_641	-5.986079
3rr4_648	-6.6892624
3rr4_663	-6.7867317
3rr4_664	-6.453688
3rr4_669	-6.888855
3rr4_680	-6.6877146
3rr4_694	-6.379333
3rr4_701	-7.003197
3rr4_703	-6.842476
3rr4_708	-6.8201675
3rr4_715	-5.760416
3rr4_716	-5.902853
3rr4_718	-5.9579782
3rr4_722	-5.442172
3rr4_724	-5.395436
3rr4_729	-5.4728694
3rr4_730	-6.5092597
3rr4_731	-5.973558
3rr4_735	-6.365525
3rr4_739	-5.7496195
3rr4_73	-7.0536623
3rr4_746	-5.004681
3rr4_747	-5.5747175
3rr4_749	-5.5598288
3rr4_752	-5.368698
3rr4_758	-5.392073
3rr4_760	-5.520807
3rr4_761	-5.506131
3rr4_763	-4.8752627
3rr4_764	-4.536083
3rr4_765	-5.4394994
3rr4_766	-5.314839
3rr4_767	-5.3706007
3rr4_768	-5.9940186
3rr4_769	-6.081944
3rr4_771	-6.307859
3rr4_773	-5.562016
3rr4_774	-6.417146
3rr4_784	-7.014553
3rr4_786	-6.801304
3rr4_790	-6.6865063
3rr4_791	-6.475063
3rr4_795	-6.01214
3rr4_806	-6.5676928
3rr4_814	-5.452954
3rr4_831	-5.2608666
3rr4_837	-5.0983086
3rr4_839	-5.561921
3rr4_849	-6.266462
3rr4_851	-5.746908
3rr4_853	-5.4443846
3rr4_85	-7.4073334
3rr4_863	-5.097851
3rr4_869	-6.1714463
3rr4_875	-5.6357093
3rr4_884	-6.843707
3rr4_891	-5.4483747
3rr4_898	-7.231561
3rr4_89	-7.2027516
3rr4_913	-6.263809
3rr4_922	-6.3396516
3rr4_938	-5.689349
3rr4_949	-6.0998693
3rr4_950	-6.075327
3rr4_955	-5.6289525
3rr4_95	-6.9744697
3rr4_964	-6.1243277
3rr4_972	-6.4523025
3rr4_975	-6.6255007
3rr4_99	-6.851037
