#code	score
3twp_105	-4.674182
3twp_108	-4.6391797
3twp_121	-4.5568275
3twp_126	-4.605642
3twp_147	-4.725111
3twp_14	-5.9152265
3twp_152	-4.5494785
3twp_157	-4.5980506
3twp_160	-4.613714
3twp_18	-4.8713
3twp_198	-4.339839
3twp_226	-4.029469
3twp_22	-5.3842783
3twp_321	-4.1929317
3twp_362	-4.4339924
3twp_381	-3.9733844
3twp_413	-4.179245
3twp_419	-4.482734
3twp_422	-5.0315733
3twp_440	-4.2372303
3twp_445	-4.4510565
3twp_454	-4.824698
3twp_467	-5.2315254
3twp_481	-4.149235
3twp_487	-4.3159966
3twp_490	-4.6130376
3twp_497	-4.055601
3twp_501	-4.2524624
3twp_510	-4.432742
3twp_511	-4.677191
3twp_532	-5.079784
3twp_533	-4.6954517
3twp_536	-4.4384084
3twp_540	-4.2470427
3twp_547	-4.1401434
3twp_560	-4.8449936
3twp_567	-4.8579245
3twp_569	-4.2212534
3twp_574	-5.3189473
3twp_575	-5.311931
3twp_576	-4.151177
3twp_578	-4.6236444
3twp_57	-4.386579
3twp_596	-4.1137185
3twp_599	-4.3093014
3twp_600	-4.1675024
3twp_605	-4.611909
3twp_608	-4.3422527
3twp_613	-4.6442847
3twp_619	-4.831279
3twp_627	-4.5656357
3twp_633	-4.404495
3twp_643	-5.030088
3twp_645	-4.4143095
3twp_646	-4.5034275
3twp_665	-5.682433
3twp_676	-4.196064
3twp_686	-5.2791834
3twp_692	-4.786589
3twp_741	-3.652238
3twp_742	-3.4922767
3twp_745	-3.9163058
3twp_749	-3.7525506
3twp_754	-4.307446
3twp_763	-3.9348493
3twp_769	-3.7599623
3twp_778	-3.3175516
3twp_779	-3.6791306
3twp_785	-3.4915884
3twp_827	-3.490756
3twp_8	-4.4248166
3twp_912	-4.372605
3twp_92	-5.127861
