#code	score
3uew_161	-6.3767114
3uew_211	-8.149208
3uew_224	-8.068558
3uew_229	-7.7407784
3uew_243	-7.598382
3uew_249	-7.983116
3uew_255	-6.8423104
3uew_281	-8.455515
3uew_282	-6.925827
3uew_290	-7.131143
3uew_352	-6.940239
3uew_404	-6.5673385
3uew_409	-6.8681602
3uew_415	-7.0453086
3uew_423	-7.0864496
3uew_431	-7.510597
3uew_433	-7.3311787
3uew_436	-6.0258937
3uew_439	-7.519317
3uew_444	-7.861788
3uew_446	-7.358029
3uew_450	-7.613067
3uew_451	-6.5763216
3uew_454	-7.270654
3uew_456	-6.8661957
3uew_458	-7.217885
3uew_467	-5.7966766
3uew_471	-6.7695193
3uew_474	-7.787756
3uew_475	-6.4234595
3uew_477	-7.5572557
3uew_481	-6.690758
3uew_482	-7.2025537
3uew_484	-7.8473554
3uew_487	-6.5677032
3uew_488	-6.7167416
3uew_489	-7.1571875
3uew_493	-6.825041
3uew_495	-6.8531227
3uew_508	-6.7721143
3uew_515	-6.6675105
3uew_520	-6.837474
3uew_533	-7.9389257
3uew_537	-6.5200405
3uew_545	-7.798445
3uew_555	-6.264178
3uew_558	-6.856044
3uew_564	-6.904771
3uew_566	-6.8044662
3uew_575	-6.1646104
3uew_582	-6.1898947
3uew_583	-6.974397
3uew_587	-6.302961
3uew_588	-7.6059575
3uew_595	-8.1352625
3uew_603	-5.7274866
3uew_612	-6.954067
3uew_613	-6.7145276
3uew_624	-6.9183273
3uew_644	-7.735809
3uew_649	-6.288119
3uew_65	-7.06342
3uew_663	-5.371833
3uew_664	-7.619484
3uew_666	-5.9862056
3uew_670	-6.856049
3uew_672	-6.4114523
3uew_675	-7.1038423
3uew_681	-6.7780437
3uew_686	-6.5683203
3uew_697	-6.6939645
3uew_700	-7.137258
3uew_735	-7.008553
3uew_740	-7.764331
3uew_751	-6.9698157
3uew_757	-8.206187
3uew_759	-6.8252444
3uew_780	-6.978848
3uew_787	-8.298471
3uew_790	-6.9527316
3uew_7	-7.339639
3uew_803	-6.415183
3uew_844	-6.7735796
3uew_880	-6.9578104
3uew_919	-7.0973783
