#code	score
3uex_1000	-7.3739476
3uex_102	-7.18032
3uex_12	-7.733743
3uex_187	-6.789505
3uex_203	-8.988146
3uex_212	-7.793637
3uex_224	-7.7435827
3uex_227	-7.8601055
3uex_244	-8.957599
3uex_247	-7.7376046
3uex_254	-8.116253
3uex_255	-8.990951
3uex_25	-7.895706
3uex_267	-7.690371
3uex_276	-7.7524514
3uex_292	-7.841905
3uex_299	-7.660011
3uex_401	-7.861551
3uex_409	-6.419291
3uex_411	-7.262289
3uex_413	-7.1896605
3uex_419	-7.0879664
3uex_420	-7.5996203
3uex_424	-7.749817
3uex_425	-8.466014
3uex_444	-7.775549
3uex_447	-7.0035887
3uex_452	-7.082041
3uex_458	-8.22389
3uex_476	-7.8651137
3uex_482	-7.555442
3uex_483	-7.243606
3uex_485	-7.5338216
3uex_491	-6.853165
3uex_493	-8.054751
3uex_498	-7.231374
3uex_499	-7.5220532
3uex_508	-7.9860845
3uex_517	-7.9268093
3uex_521	-7.273276
3uex_522	-7.709016
3uex_542	-5.966381
3uex_562	-7.0257087
3uex_566	-7.624143
3uex_56	-7.78337
3uex_576	-6.356442
3uex_581	-6.8748765
3uex_585	-6.3844004
3uex_588	-5.0553823
3uex_627	-6.3818145
3uex_630	-6.260024
3uex_63	-7.623677
3uex_640	-6.9662614
3uex_648	-7.262464
3uex_652	-7.919844
3uex_657	-6.992446
3uex_660	-6.700505
3uex_667	-6.320332
3uex_668	-6.131251
3uex_678	-5.6055827
3uex_688	-7.0533633
3uex_690	-7.5789366
3uex_693	-6.1398973
3uex_696	-6.225831
3uex_697	-8.273223
3uex_733	-7.0965004
3uex_743	-8.011779
3uex_748	-8.690047
3uex_764	-7.80617
3uex_76	-7.5942926
3uex_772	-7.689466
3uex_775	-7.3523984
3uex_778	-6.507433
3uex_782	-7.1321325
3uex_794	-6.8380256
3uex_815	-7.0280933
3uex_836	-7.1117277
3uex_859	-7.140173
3uex_90	-7.64222
3uex_94	-7.8272834
3uex_98	-7.732917
