#code	score
3zso_124	-7.191406
3zso_139	-8.450676
3zso_140	-7.7631607
3zso_148	-8.290524
3zso_201	-9.4435625
3zso_217	-7.559628
3zso_221	-9.249297
3zso_224	-7.810828
3zso_233	-9.525122
3zso_23	-7.394645
3zso_240	-9.895419
3zso_241	-7.4835057
3zso_250	-8.2489195
3zso_251	-9.630157
3zso_255	-7.929187
3zso_263	-8.904927
3zso_266	-8.896407
3zso_269	-9.533546
3zso_275	-9.482557
3zso_282	-8.637594
3zso_285	-9.487981
3zso_287	-8.716446
3zso_288	-8.01385
3zso_293	-8.934255
3zso_295	-9.321477
3zso_325	-6.9013014
3zso_33	-6.6092114
3zso_350	-7.209181
3zso_351	-6.714356
3zso_353	-7.532102
3zso_387	-7.3949666
3zso_394	-7.7597203
3zso_397	-7.0400977
3zso_410	-9.494534
3zso_423	-7.739762
3zso_46	-7.470444
3zso_499	-7.8577642
3zso_532	-8.083424
3zso_545	-6.3688273
3zso_573	-6.6762543
3zso_584	-7.746909
3zso_585	-7.333282
3zso_587	-5.8584657
3zso_595	-5.2858644
3zso_608	-6.9185395
3zso_648	-5.814207
3zso_652	-5.5522327
3zso_653	-6.362622
3zso_662	-9.096774
3zso_676	-9.078836
3zso_686	-8.912043
3zso_6	-8.763989
3zso_738	-9.204699
3zso_799	-9.063883
3zso_810	-9.023113
3zso_818	-9.343072
3zso_847	-9.672279
3zso_84	-6.6659484
3zso_866	-8.92899
3zso_871	-7.603266
3zso_87	-7.542801
3zso_894	-7.773598
3zso_898	-9.290675
3zso_899	-9.363658
3zso_902	-9.063883
3zso_910	-9.221502
3zso_920	-9.023113
3zso_923	-9.100401
3zso_925	-9.042443
3zso_933	-9.037005
3zso_93	-7.9733114
3zso_94	-8.417528
3zso_959	-8.277753
3zso_980	-8.41231
3zso_988	-8.322345
3zso_994	-7.767216
