#code	score
3zsx_113	-6.3447723
3zsx_136	-6.388487
3zsx_138	-7.5395536
3zsx_175	-6.696343
3zsx_201	-6.325076
3zsx_20	-5.9889617
3zsx_210	-8.181632
3zsx_213	-8.298785
3zsx_217	-7.2870817
3zsx_21	-6.035906
3zsx_226	-7.681842
3zsx_229	-7.2008862
3zsx_230	-8.145661
3zsx_231	-7.6247296
3zsx_235	-7.4329286
3zsx_237	-8.18652
3zsx_240	-7.9486303
3zsx_247	-9.04173
3zsx_253	-8.539825
3zsx_254	-8.088793
3zsx_262	-7.8344784
3zsx_26	-6.2195563
3zsx_274	-8.499197
3zsx_282	-8.230595
3zsx_293	-7.934666
3zsx_318	-5.627542
3zsx_326	-5.768583
3zsx_329	-8.577458
3zsx_32	-5.9200764
3zsx_337	-7.2965236
3zsx_345	-8.045602
3zsx_359	-6.0126877
3zsx_374	-5.5134487
3zsx_379	-7.9265256
3zsx_395	-6.0027485
3zsx_3	-5.7811575
3zsx_408	-8.281776
3zsx_40	-6.0233517
3zsx_419	-7.896716
3zsx_436	-8.208668
3zsx_456	-8.5313835
3zsx_46	-7.048268
3zsx_487	-8.480221
3zsx_495	-7.7350717
3zsx_4	-6.5965123
3zsx_51	-6.364632
3zsx_524	-7.835296
3zsx_52	-6.4961047
3zsx_537	-7.5769267
3zsx_545	-7.756617
3zsx_556	-7.2702074
3zsx_568	-5.907319
3zsx_569	-5.0438347
3zsx_576	-7.37138
3zsx_582	-6.3638644
3zsx_585	-8.631933
3zsx_586	-6.1277566
3zsx_599	-6.101697
3zsx_608	-6.9522667
3zsx_628	-6.7600713
3zsx_636	-5.712512
3zsx_637	-6.253768
3zsx_667	-7.4326153
3zsx_674	-7.865867
3zsx_677	-7.528703
3zsx_684	-5.757585
3zsx_713	-8.324875
3zsx_714	-7.98741
3zsx_741	-7.7808714
3zsx_749	-8.016238
3zsx_74	-6.1478386
3zsx_759	-7.524394
3zsx_75	-5.7521424
3zsx_76	-7.2541447
3zsx_773	-7.9265857
3zsx_774	-7.8689523
3zsx_776	-7.5446067
3zsx_780	-7.7573385
3zsx_791	-6.404827
3zsx_79	-6.7483244
3zsx_80	-5.7199035
3zsx_859	-7.6351457
3zsx_908	-8.016725
3zsx_90	-6.2320275
3zsx_91	-5.8321443
3zsx_933	-8.236767
3zsx_955	-8.039711
3zsx_961	-8.054715
3zsx_965	-8.111923
3zsx_978	-7.917521
