#code	score
4agq_114	-7.678445
4agq_121	-6.6893215
4agq_151	-7.21907
4agq_158	-7.198586
4agq_204	-7.1309423
4agq_205	-7.0991516
4agq_217	-7.0903
4agq_219	-6.9486313
4agq_221	-6.60235
4agq_228	-6.983492
4agq_234	-7.18855
4agq_236	-7.039606
4agq_254	-6.4907565
4agq_25	-5.278509
4agq_268	-6.7559705
4agq_272	-7.097792
4agq_27	-5.4977174
4agq_326	-5.9213004
4agq_339	-7.089972
4agq_350	-7.9068456
4agq_356	-5.0695744
4agq_35	-4.7617354
4agq_369	-5.7268047
4agq_378	-5.440016
4agq_382	-5.7526503
4agq_394	-4.9638186
4agq_409	-6.6217036
4agq_413	-6.789149
4agq_418	-8.633713
4agq_419	-6.929001
4agq_41	-4.6390815
4agq_421	-7.215751
4agq_433	-9.466359
4agq_442	-8.230177
4agq_446	-8.830733
4agq_450	-8.543715
4agq_452	-6.725514
4agq_461	-7.2502084
4agq_463	-8.219608
4agq_470	-8.163506
4agq_474	-6.14932
4agq_475	-6.546776
4agq_478	-7.240084
4agq_490	-8.006958
4agq_503	-6.3065743
4agq_504	-5.841568
4agq_505	-7.4545393
4agq_526	-5.954249
4agq_529	-8.275605
4agq_534	-4.920222
4agq_535	-7.5394764
4agq_548	-7.9432974
4agq_556	-5.8359904
4agq_557	-7.5611615
4agq_572	-6.7596865
4agq_573	-6.7848716
4agq_576	-5.7846746
4agq_580	-7.0974326
4agq_587	-5.9388084
4agq_592	-8.342775
4agq_598	-5.295118
4agq_604	-6.584076
4agq_609	-7.2278957
4agq_62	-5.1384783
4agq_631	-5.9158206
4agq_635	-6.032468
4agq_641	-7.956655
4agq_642	-6.8484406
4agq_649	-7.315478
4agq_653	-5.3247213
4agq_664	-5.9827523
4agq_665	-6.282284
4agq_666	-7.5988398
4agq_672	-6.4281125
4agq_676	-6.496746
4agq_680	-6.81281
4agq_681	-7.962733
4agq_684	-5.8408246
4agq_687	-5.096563
4agq_691	-5.6036983
4agq_700	-6.200186
4agq_702	-6.443685
4agq_718	-6.1277137
4agq_744	-6.7743053
4agq_771	-4.2253323
4agq_775	-4.293729
4agq_778	-4.7420526
4agq_788	-4.4153585
4agq_84	-5.160658
4agq_850	-6.3907633
4agq_866	-6.1747756
4agq_872	-6.50185
4agq_894	-4.8931165
4agq_999	-7.007383
