#code	score
4ddh_130	-5.9044333
4ddh_13	-6.304239
4ddh_181	-6.5338006
4ddh_1	-6.416774
4ddh_270	-6.5685005
4ddh_27	-6.1104307
4ddh_294	-6.1675253
4ddh_296	-6.380302
4ddh_343	-6.2904167
4ddh_349	-6.2757297
4ddh_401	-6.566192
4ddh_416	-5.999292
4ddh_421	-5.468283
4ddh_422	-5.7706313
4ddh_427	-5.6844373
4ddh_432	-6.3121853
4ddh_439	-6.0080557
4ddh_448	-5.80929
4ddh_455	-5.886948
4ddh_459	-5.653702
4ddh_462	-5.8527083
4ddh_465	-5.564491
4ddh_466	-5.8268003
4ddh_471	-6.222769
4ddh_489	-6.5780354
4ddh_490	-5.9747047
4ddh_500	-5.9041014
4ddh_507	-6.047595
4ddh_514	-6.1138105
4ddh_519	-6.3396173
4ddh_530	-5.6273623
4ddh_542	-5.916543
4ddh_543	-6.0403533
4ddh_545	-6.145114
4ddh_547	-5.914342
4ddh_548	-5.977856
4ddh_555	-5.9437885
4ddh_559	-5.9264207
4ddh_564	-6.142519
4ddh_574	-5.496226
4ddh_589	-5.7571907
4ddh_591	-6.071386
4ddh_592	-6.1943655
4ddh_593	-5.9007697
4ddh_620	-6.3254085
4ddh_632	-5.931682
4ddh_641	-5.648902
4ddh_649	-5.944369
4ddh_651	-6.1229362
4ddh_659	-5.9543347
4ddh_671	-5.9761176
4ddh_684	-6.114177
4ddh_688	-6.3153906
4ddh_734	-6.3206315
4ddh_754	-6.2028174
4ddh_762	-6.0648055
4ddh_763	-6.0824184
4ddh_764	-6.082501
4ddh_770	-6.0557323
4ddh_771	-5.7668447
4ddh_773	-5.910648
4ddh_774	-6.471716
4ddh_781	-5.8277254
4ddh_782	-6.216498
4ddh_783	-5.793207
4ddh_784	-6.4623766
4ddh_794	-5.970173
4ddh_795	-5.9478617
4ddh_796	-4.965002
4ddh_79	-6.2470107
4ddh_80	-6.4622674
4ddh_843	-6.350587
4ddh_868	-6.022595
4ddh_882	-5.8870807
4ddh_885	-5.8780737
4ddh_911	-6.456216
4ddh_971	-6.812564
