#code	score
4ea2_216	-7.1455607
4ea2_226	-7.958058
4ea2_232	-7.057587
4ea2_238	-7.052045
4ea2_25	-8.075886
4ea2_270	-6.265325
4ea2_364	-7.70495
4ea2_407	-7.3819165
4ea2_408	-7.364115
4ea2_411	-8.246692
4ea2_442	-7.1010885
4ea2_444	-7.8054886
4ea2_456	-7.7385283
4ea2_485	-7.747255
4ea2_499	-6.722904
4ea2_526	-6.137466
4ea2_530	-5.890885
4ea2_531	-6.9181423
4ea2_534	-7.1926045
4ea2_539	-7.1313815
4ea2_53	-6.7537546
4ea2_555	-7.9044952
4ea2_565	-7.0688252
4ea2_568	-7.107718
4ea2_576	-7.270759
4ea2_58	-6.9651623
4ea2_592	-6.8311243
4ea2_598	-7.0192246
4ea2_59	-7.1260047
4ea2_603	-6.5676913
4ea2_607	-7.250654
4ea2_615	-6.5374365
4ea2_617	-6.6630363
4ea2_619	-6.7526317
4ea2_621	-7.7018104
4ea2_625	-7.956707
4ea2_639	-7.512363
4ea2_640	-7.1521916
4ea2_645	-5.8948827
4ea2_653	-6.1772227
4ea2_661	-6.2931843
4ea2_662	-5.8390427
4ea2_663	-5.597829
4ea2_666	-7.589686
4ea2_671	-6.258675
4ea2_673	-7.014143
4ea2_678	-6.6519094
4ea2_684	-5.928516
4ea2_688	-6.26151
4ea2_692	-6.7274156
4ea2_696	-6.664408
4ea2_698	-7.689949
4ea2_722	-8.011387
4ea2_72	-6.939094
4ea2_737	-7.3706484
4ea2_748	-7.9626656
4ea2_749	-6.866633
4ea2_775	-7.3382797
4ea2_77	-6.888763
4ea2_785	-7.5583982
4ea2_787	-7.2338076
4ea2_793	-6.916491
4ea2_794	-7.6271167
4ea2_798	-7.6366577
4ea2_809	-8.077448
4ea2_819	-7.880437
4ea2_867	-7.9805546
4ea2_895	-8.144997
4ea2_961	-7.44191
4ea2_96	-7.1346574
4ea2_998	-7.675426
