#code	score
4ivc_20	-9.997492
4ivc_232	-9.7869425
4ivc_32	-9.987925
4ivc_33	-9.33567
4ivc_409	-9.539257
4ivc_411	-9.705528
4ivc_428	-9.074687
4ivc_442	-8.987848
4ivc_458	-8.803323
4ivc_466	-9.444393
4ivc_470	-8.6501665
4ivc_472	-9.249896
4ivc_476	-8.928358
4ivc_478	-9.078113
4ivc_483	-8.307291
4ivc_489	-8.889514
4ivc_492	-9.110901
4ivc_498	-9.438371
4ivc_515	-8.659413
4ivc_518	-7.968812
4ivc_528	-7.4103856
4ivc_534	-8.624853
4ivc_537	-8.695301
4ivc_543	-7.473405
4ivc_544	-7.961803
4ivc_545	-8.777798
4ivc_552	-8.078592
4ivc_553	-7.909433
4ivc_554	-7.848841
4ivc_555	-7.7998543
4ivc_560	-7.527238
4ivc_561	-9.092157
4ivc_563	-7.8537154
4ivc_564	-8.451621
4ivc_571	-8.353924
4ivc_575	-7.6681085
4ivc_581	-9.422168
4ivc_582	-7.1476307
4ivc_583	-8.9461
4ivc_584	-7.9113555
4ivc_593	-8.868275
4ivc_596	-7.84429
4ivc_600	-8.4396
4ivc_610	-9.923082
4ivc_612	-9.112537
4ivc_614	-7.5081058
4ivc_64	-9.879296
4ivc_658	-8.442387
4ivc_679	-9.390944
4ivc_685	-9.589659
4ivc_687	-8.55308
4ivc_690	-8.043289
4ivc_695	-9.209923
4ivc_699	-7.407103
4ivc_700	-8.134962
4ivc_723	-10.046158
4ivc_740	-9.838335
4ivc_743	-8.341963
4ivc_757	-8.477056
4ivc_758	-9.550822
4ivc_759	-7.988197
4ivc_760	-8.133642
4ivc_764	-8.471087
4ivc_82	-9.829326
4ivc_831	-9.598407
4ivc_841	-9.830894
4ivc_860	-9.587901
4ivc_862	-9.887865
4ivc_864	-9.755345
4ivc_944	-9.585328
4ivc_961	-9.818243
