#code	score
4jxs_129	-5.964233
4jxs_147	-5.611384
4jxs_153	-5.9092336
4jxs_196	-5.848652
4jxs_203	-5.961658
4jxs_205	-6.5467553
4jxs_218	-6.026086
4jxs_223	-6.219101
4jxs_227	-6.1719418
4jxs_232	-6.162497
4jxs_236	-6.1624036
4jxs_238	-6.480325
4jxs_243	-6.205292
4jxs_244	-6.068943
4jxs_246	-6.122962
4jxs_257	-6.247757
4jxs_258	-6.2024097
4jxs_260	-5.907238
4jxs_262	-5.7994876
4jxs_264	-6.2035956
4jxs_275	-6.747802
4jxs_278	-6.5926747
4jxs_295	-6.2697387
4jxs_296	-6.0537157
4jxs_2	-5.943565
4jxs_306	-5.744485
4jxs_311	-5.8506627
4jxs_31	-5.551791
4jxs_322	-4.8123813
4jxs_334	-5.876686
4jxs_348	-5.1895604
4jxs_352	-5.796977
4jxs_356	-5.78948
4jxs_401	-5.1411614
4jxs_407	-5.4079394
4jxs_410	-5.4664145
4jxs_411	-6.1002817
4jxs_414	-6.439194
4jxs_427	-5.616036
4jxs_434	-5.6220922
4jxs_444	-6.5273323
4jxs_452	-5.8896832
4jxs_455	-5.329135
4jxs_464	-6.4516964
4jxs_466	-5.8603916
4jxs_47	-6.007485
4jxs_485	-5.3755617
4jxs_490	-5.624671
4jxs_503	-5.378369
4jxs_509	-5.6495667
4jxs_513	-5.318959
4jxs_517	-5.1010733
4jxs_520	-5.023312
4jxs_523	-5.686377
4jxs_543	-3.8810964
4jxs_546	-6.140047
4jxs_556	-5.0940166
4jxs_55	-5.52568
4jxs_563	-5.5278273
4jxs_56	-5.6843414
4jxs_573	-5.7393055
4jxs_578	-5.0373864
4jxs_579	-5.492428
4jxs_580	-5.6318555
4jxs_581	-5.0633802
4jxs_585	-6.3243284
4jxs_588	-4.6745043
4jxs_595	-5.6670475
4jxs_598	-5.6239104
4jxs_599	-4.625285
4jxs_628	-5.8955517
4jxs_648	-5.235171
4jxs_654	-6.525644
4jxs_664	-6.5391183
4jxs_669	-5.475816
4jxs_672	-6.469538
4jxs_679	-4.9534554
4jxs_684	-5.1586804
4jxs_688	-6.3893437
4jxs_696	-5.499594
4jxs_698	-6.2215066
4jxs_701	-6.4812527
4jxs_702	-5.6438303
4jxs_707	-5.526019
4jxs_712	-6.039459
4jxs_713	-6.530824
4jxs_714	-6.133677
4jxs_719	-6.213014
4jxs_725	-6.241838
4jxs_72	-5.887046
4jxs_750	-5.3107686
4jxs_764	-5.9356513
4jxs_766	-5.9427466
4jxs_768	-5.999559
4jxs_76	-6.0854297
4jxs_770	-5.5325074
4jxs_78	-5.994249
4jxs_85	-5.1507983
4jxs_979	-5.931346
4jxs_9	-5.454923
