#code	score
5a7b_115	-4.782393
5a7b_11	-4.907129
5a7b_136	-4.7692566
5a7b_138	-5.995237
5a7b_144	-7.102111
5a7b_170	-6.1202083
5a7b_175	-4.8553934
5a7b_178	-5.732493
5a7b_190	-5.252116
5a7b_204	-7.803256
5a7b_214	-7.1950145
5a7b_215	-9.812402
5a7b_217	-7.335051
5a7b_227	-8.01395
5a7b_233	-6.9271483
5a7b_234	-6.548681
5a7b_243	-7.542029
5a7b_244	-7.154514
5a7b_258	-7.020939
5a7b_261	-8.26454
5a7b_264	-8.180599
5a7b_266	-6.4232225
5a7b_274	-7.08939
5a7b_276	-7.3644137
5a7b_280	-6.572699
5a7b_281	-9.80839
5a7b_284	-7.6533875
5a7b_286	-7.205679
5a7b_295	-6.613979
5a7b_302	-6.446143
5a7b_309	-5.928532
5a7b_311	-6.589207
5a7b_349	-5.914798
5a7b_358	-7.1390185
5a7b_382	-6.4221606
5a7b_402	-7.4954724
5a7b_409	-7.566261
5a7b_424	-7.1650066
5a7b_426	-8.325824
5a7b_429	-6.7176566
5a7b_440	-6.582847
5a7b_447	-7.4906707
5a7b_451	-7.1431675
5a7b_461	-7.522083
5a7b_485	-6.57767
5a7b_488	-7.424437
5a7b_511	-8.368028
5a7b_514	-6.0104337
5a7b_518	-7.149671
5a7b_523	-5.580926
5a7b_531	-7.907037
5a7b_539	-5.8193
5a7b_542	-6.6433926
5a7b_546	-6.4728336
5a7b_550	-5.455468
5a7b_553	-6.8663316
5a7b_566	-7.3698807
5a7b_569	-4.5983677
5a7b_588	-7.344033
5a7b_591	-6.076221
5a7b_595	-7.7097073
5a7b_597	-5.646686
5a7b_601	-8.054486
5a7b_613	-5.6963863
5a7b_623	-8.325538
5a7b_628	-6.22486
5a7b_632	-7.221758
5a7b_633	-6.5456758
5a7b_636	-5.8680725
5a7b_651	-6.092284
5a7b_652	-6.6343
5a7b_655	-6.0632105
5a7b_657	-5.7891097
5a7b_660	-5.981312
5a7b_672	-6.892826
5a7b_675	-5.2040753
5a7b_690	-6.619009
5a7b_691	-7.341846
5a7b_694	-5.0056024
5a7b_696	-6.5358863
5a7b_697	-7.329952
5a7b_698	-6.941408
5a7b_700	-5.3191085
5a7b_726	-7.3024974
5a7b_738	-6.9672
5a7b_742	-6.918846
5a7b_780	-4.90546
5a7b_817	-5.5103154
5a7b_842	-4.9117093
5a7b_843	-5.5446334
5a7b_850	-7.4483905
5a7b_874	-5.8615966
5a7b_878	-5.533138
5a7b_980	-5.0227113
