#code	score
5c2h_119	-7.239583
5c2h_160	-7.460392
5c2h_204	-10.216294
5c2h_216	-10.030931
5c2h_240	-10.038056
5c2h_244	-10.289885
5c2h_247	-10.2799
5c2h_251	-9.329034
5c2h_252	-9.989807
5c2h_256	-9.483858
5c2h_259	-10.041923
5c2h_274	-10.089418
5c2h_292	-9.922585
5c2h_295	-9.747507
5c2h_308	-7.73917
5c2h_352	-9.171959
5c2h_394	-7.234083
5c2h_405	-9.246572
5c2h_406	-9.322151
5c2h_421	-7.9615617
5c2h_424	-8.415178
5c2h_427	-9.638045
5c2h_431	-8.318001
5c2h_432	-9.284046
5c2h_444	-7.744328
5c2h_457	-8.930899
5c2h_462	-8.761887
5c2h_467	-8.386051
5c2h_471	-9.819115
5c2h_475	-9.42074
5c2h_481	-9.07458
5c2h_482	-8.651758
5c2h_484	-6.8058524
5c2h_486	-9.38593
5c2h_48	-8.759393
5c2h_496	-8.527147
5c2h_500	-8.223482
5c2h_507	-8.711197
5c2h_509	-8.650386
5c2h_513	-8.433141
5c2h_516	-8.087894
5c2h_517	-8.624456
5c2h_519	-8.079126
5c2h_520	-7.7542057
5c2h_524	-9.175686
5c2h_533	-8.733382
5c2h_536	-7.755119
5c2h_537	-8.481532
5c2h_544	-9.104047
5c2h_545	-6.999249
5c2h_547	-7.7221994
5c2h_548	-7.0671644
5c2h_553	-8.53821
5c2h_561	-6.4250298
5c2h_565	-9.06331
5c2h_566	-7.9764175
5c2h_572	-8.678682
5c2h_575	-6.353643
5c2h_576	-8.600583
5c2h_579	-8.186634
5c2h_585	-7.4686832
5c2h_597	-7.1798472
5c2h_599	-9.210958
5c2h_602	-9.059285
5c2h_608	-7.613971
5c2h_611	-8.707479
5c2h_613	-9.933779
5c2h_624	-9.009663
5c2h_627	-9.122986
5c2h_640	-7.484485
5c2h_641	-7.7369275
5c2h_644	-8.903942
5c2h_646	-8.796176
5c2h_649	-8.193485
5c2h_651	-9.040894
5c2h_653	-7.3278503
5c2h_657	-8.620626
5c2h_663	-9.042362
5c2h_666	-9.602509
5c2h_682	-7.832923
5c2h_686	-8.771885
5c2h_696	-8.351601
5c2h_697	-7.544056
5c2h_698	-7.3197308
5c2h_700	-7.489806
5c2h_756	-7.8828125
5c2h_758	-7.782511
5c2h_764	-9.509771
5c2h_775	-9.3691845
5c2h_816	-7.6708436
5c2h_831	-8.360727
5c2h_848	-8.53509
5c2h_860	-8.146148
5c2h_89	-6.9553547
5c2h_910	-8.412559
5c2h_922	-8.938809
5c2h_940	-8.315305
