#code_ligand_num	score
2xii_ligand_273	-7.9909015
2xii_ligand_283	-7.8969035
2xii_ligand_284	-7.6019454
2xii_ligand_286	-6.8708344
2xii_ligand_28	-7.0370355
2xii_ligand_290	-5.796464
2xii_ligand_296	-6.397212
2xii_ligand_299	-6.1350875
2xii_ligand_2	-7.264231
2xii_ligand_301	-8.276119
2xii_ligand_306	-7.159363
2xii_ligand_312	-9.4668255
2xii_ligand_316	-8.342201
2xii_ligand_31	-6.079551
2xii_ligand_325	-7.8165674
2xii_ligand_331	-7.7800612
2xii_ligand_338	-8.024961
2xii_ligand_33	-5.721059
2xii_ligand_354	-7.841282
2xii_ligand_356	-7.7162085
2xii_ligand_35	-5.619482
2xii_ligand_373	-6.2653317
2xii_ligand_379	-5.5298595
2xii_ligand_381	-6.452456
2xii_ligand_385	-6.7134542
2xii_ligand_387	-6.3203454
2xii_ligand_388	-6.679563
2xii_ligand_396	-6.86642
2xii_ligand_398	-6.543775
2xii_ligand_419	-7.369856
2xii_ligand_421	-7.780713
2xii_ligand_423	-8.234563
2xii_ligand_436	-7.358903
2xii_ligand_44	-5.8646812
2xii_ligand_53	-6.4735427
2xii_ligand_60	-5.0677943
2xii_ligand_63	-5.51128
2xii_ligand_65	-6.0507593
2xii_ligand_67	-6.9753976
2xii_ligand_6	-5.580043
2xii_ligand_72	-6.0822206
2xii_ligand_73	-6.418554
2xii_ligand_80	-5.862744
2xii_ligand_81	-5.128396
2xii_ligand_88	-6.214064
2xii_ligand_8	-5.9251323
2xii_ligand_92	-5.4546986
2xii_ligand_96	-5.9847913
2xii_ligand_97	-4.9198785
2xii_ligand_9	-6.5669703
2xj7_ligand_104	-5.1744366
2xj7_ligand_108	-4.618007
2xj7_ligand_114	-5.2645936
2xj7_ligand_151	-6.7658653
2xj7_ligand_160	-7.0438576
2xj7_ligand_161	-7.359591
2xj7_ligand_171	-6.5233035
2xj7_ligand_176	-6.5157886
2xj7_ligand_178	-7.102341
2xj7_ligand_187	-6.4829555
2xj7_ligand_192	-6.340407
2xj7_ligand_193	-5.561914
2xj7_ligand_206	-5.975026
2xj7_ligand_208	-5.357733
2xj7_ligand_211	-5.820698
2xj7_ligand_212	-5.2731724
2xj7_ligand_213	-5.2540383
2xj7_ligand_214	-5.2474184
2xj7_ligand_220	-5.0285416
2xj7_ligand_221	-5.4430475
2xj7_ligand_224	-5.4455247
2xj7_ligand_225	-5.154181
2xj7_ligand_227	-4.487504
2xj7_ligand_22	-4.8710413
2xj7_ligand_230	-4.574559
2xj7_ligand_231	-5.3451667
2xj7_ligand_233	-4.951536
2xj7_ligand_235	-4.606668
2xj7_ligand_236	-4.6979074
2xj7_ligand_237	-4.375303
2xj7_ligand_238	-4.5511594
2xj7_ligand_239	-4.8564215
2xj7_ligand_240	-5.157957
2xj7_ligand_245	-5.2718005
2xj7_ligand_246	-4.821199
2xj7_ligand_248	-4.719335
2xj7_ligand_249	-4.663891
2xj7_ligand_250	-4.3537927
2xj7_ligand_257	-5.9739013
2xj7_ligand_261	-5.9426093
2xj7_ligand_262	-5.020221
2xj7_ligand_264	-5.453283
2xj7_ligand_266	-5.0820932
2xj7_ligand_270	-5.985703
2xj7_ligand_271	-5.878374
2xj7_ligand_274	-5.562986
2xj7_ligand_275	-4.624589
2xj7_ligand_276	-5.2610793
2xj7_ligand_278	-5.644017
2xj7_ligand_282	-4.4430137
2xj7_ligand_285	-6.164367
2xj7_ligand_291	-4.731826
2xj7_ligand_295	-6.920527
2xj7_ligand_298	-5.355222
2xj7_ligand_29	-5.4255915
2xj7_ligand_2	-5.3310504
2xj7_ligand_300	-6.9609942
2xj7_ligand_301	-7.3058033
2xj7_ligand_311	-7.037396
2xj7_ligand_319	-6.5905285
2xj7_ligand_320	-7.111844
2xj7_ligand_322	-7.287691
2xj7_ligand_323	-5.9053726
2xj7_ligand_324	-6.0582914
2xj7_ligand_327	-6.2623534
2xj7_ligand_328	-6.549015
2xj7_ligand_333	-6.3450904
2xj7_ligand_334	-5.4729533
2xj7_ligand_341	-6.257908
2xj7_ligand_346	-5.3510003
2xj7_ligand_348	-5.8298173
2xj7_ligand_349	-6.82237
2xj7_ligand_354	-6.6388564
2xj7_ligand_358	-4.4012227
2xj7_ligand_362	-4.433472
2xj7_ligand_375	-5.22976
2xj7_ligand_378	-5.0665994
2xj7_ligand_37	-4.741037
2xj7_ligand_382	-4.70357
2xj7_ligand_388	-4.9033456
2xj7_ligand_39	-4.713452
2xj7_ligand_3	-5.2913575
2xj7_ligand_400	-4.652501
2xj7_ligand_407	-5.436167
2xj7_ligand_416	-5.5508122
2xj7_ligand_424	-5.5227594
2xj7_ligand_44	-5.8604584
2xj7_ligand_464	-5.228967
2xj7_ligand_469	-5.7017183
2xj7_ligand_477	-4.9588995
2xj7_ligand_47	-5.0951247
2xj7_ligand_498	-5.4443183
2xj7_ligand_50	-5.3980546
2xj7_ligand_55	-4.948277
2xj7_ligand_69	-4.664063
2xj7_ligand_70	-5.3341613
2xj7_ligand_83	-5.16318
2xj7_ligand_84	-5.078535
2xj7_ligand_92	-5.2283826
2xj7_ligand_99	-5.1699347
2xnb_ligand_100	-6.2789917
2xnb_ligand_125	-6.067701
2xnb_ligand_126	-6.456922
2xnb_ligand_13	-5.92196
2xnb_ligand_168	-6.5759254
2xnb_ligand_16	-6.2649775
2xnb_ligand_178	-7.745667
2xnb_ligand_18	-5.8879056
2xnb_ligand_202	-5.8640904
2xnb_ligand_205	-6.463787
2xnb_ligand_206	-5.8828435
2xnb_ligand_208	-5.231771
2xnb_ligand_20	-5.0945525
2xnb_ligand_212	-5.46489
2xnb_ligand_216	-5.4219823
2xnb_ligand_217	-6.4460344
2xnb_ligand_225	-5.343313
2xnb_ligand_228	-5.760169
2xnb_ligand_236	-5.197113
2xnb_ligand_237	-5.4641333
2xnb_ligand_238	-6.3260384
2xnb_ligand_239	-6.0273094
2xnb_ligand_240	-5.587765
2xnb_ligand_248	-5.0152273
2xnb_ligand_260	-6.149558
2xnb_ligand_26	-6.426985
2xnb_ligand_282	-5.1111026
2xnb_ligand_285	-7.278321
2xnb_ligand_286	-6.1239524
2xnb_ligand_28	-6.1636567
2xnb_ligand_293	-7.094738
2xnb_ligand_2	-6.303553
2xnb_ligand_300	-6.3870893
2xnb_ligand_31	-5.5973706
2xnb_ligand_329	-7.832807
2xnb_ligand_338	-6.9316907
2xnb_ligand_33	-6.739651
2xnb_ligand_34	-5.5427103
2xnb_ligand_350	-6.5738964
2xnb_ligand_351	-5.5073953
2xnb_ligand_352	-5.1826267
2xnb_ligand_359	-4.9465003
2xnb_ligand_361	-4.999297
2xnb_ligand_365	-5.5508504
2xnb_ligand_374	-5.079597
2xnb_ligand_375	-5.359876
2xnb_ligand_376	-5.6702394
2xnb_ligand_378	-5.265224
2xnb_ligand_381	-5.2738895
2xnb_ligand_385	-4.299834
2xnb_ligand_386	-4.3579016
2xnb_ligand_389	-5.3323083
2xnb_ligand_38	-6.4638443
2xnb_ligand_390	-4.65626
2xnb_ligand_39	-6.374619
2xnb_ligand_401	-6.9353046
2xnb_ligand_406	-4.9994555
2xnb_ligand_417	-5.1569543
2xnb_ligand_419	-6.469834
2xnb_ligand_41	-5.712997
2xnb_ligand_423	-6.1907043
2xnb_ligand_425	-5.60847
2xnb_ligand_42	-6.1148357
2xnb_ligand_430	-5.831962
2xnb_ligand_434	-6.509803
2xnb_ligand_43	-6.0115495
2xnb_ligand_440	-5.572343
2xnb_ligand_442	-6.2920856
2xnb_ligand_454	-6.1103225
2xnb_ligand_460	-6.0978894
2xnb_ligand_469	-5.777928
2xnb_ligand_472	-5.4993353
2xnb_ligand_475	-6.620614
2xnb_ligand_47	-5.8371315
2xnb_ligand_483	-5.2817903
2xnb_ligand_484	-5.0858192
2xnb_ligand_487	-4.69626
2xnb_ligand_488	-5.0291295
2xnb_ligand_489	-5.3928294
2xnb_ligand_50	-6.027197
2xnb_ligand_52	-5.49713
2xnb_ligand_53	-5.269182
2xnb_ligand_57	-6.559991
2xnb_ligand_60	-6.1181207
2xnb_ligand_61	-6.324042
2xnb_ligand_62	-5.6970744
2xnb_ligand_66	-5.883694
2xnb_ligand_67	-5.338628
2xnb_ligand_6	-5.1487927
2xnb_ligand_75	-6.902185
2xnb_ligand_79	-5.30725
2xnb_ligand_80	-6.117122
2xnb_ligand_82	-6.6265554
2xnb_ligand_84	-5.7715583
2xnb_ligand_85	-5.4437814
2xnb_ligand_86	-6.0081267
2xnb_ligand_87	-6.3750677
2xnb_ligand_89	-5.179446
2xnb_ligand_90	-6.054689
2xnb_ligand_92	-5.4537983
2xys_ligand_158	-8.437771
2xys_ligand_159	-7.3714933
2xys_ligand_161	-9.011646
2xys_ligand_167	-7.33876
2xys_ligand_16	-5.7116084
2xys_ligand_176	-8.507751
2xys_ligand_180	-7.880442
2xys_ligand_183	-7.9060426
2xys_ligand_186	-7.4256563
2xys_ligand_189	-7.858844
2xys_ligand_191	-7.090228
2xys_ligand_194	-6.918268
2xys_ligand_196	-6.751114
2xys_ligand_201	-5.5213933
2xys_ligand_203	-5.979056
2xys_ligand_207	-5.1305647
2xys_ligand_208	-4.872978
2xys_ligand_209	-5.4983854
2xys_ligand_210	-5.1655364
2xys_ligand_211	-5.0071764
2xys_ligand_212	-4.676842
2xys_ligand_213	-4.917425
2xys_ligand_215	-4.824653
2xys_ligand_216	-4.863022
2xys_ligand_217	-5.316972
2xys_ligand_21	-5.0702314
2xys_ligand_222	-5.3261886
2xys_ligand_224	-5.422339
2xys_ligand_225	-5.032796
2xys_ligand_226	-4.8139277
2xys_ligand_229	-6.047994
2xys_ligand_230	-4.44564
2xys_ligand_232	-5.459083
2xys_ligand_234	-5.193018
