#code_ligand_num	score
3gc5_ligand_275	-7.692405
3gc5_ligand_277	-7.178738
3gc5_ligand_279	-7.7722144
3gc5_ligand_281	-6.9293017
3gc5_ligand_285	-7.520613
3gc5_ligand_287	-7.2938056
3gc5_ligand_291	-8.338078
3gc5_ligand_293	-7.788842
3gc5_ligand_296	-7.3119407
3gc5_ligand_297	-7.680008
3gc5_ligand_298	-7.6176744
3gc5_ligand_300	-7.163513
3gc5_ligand_304	-7.802874
3gc5_ligand_310	-7.126185
3gc5_ligand_312	-7.738062
3gc5_ligand_317	-7.199029
3gc5_ligand_318	-7.723687
3gc5_ligand_319	-8.132222
3gc5_ligand_320	-7.562509
3gc5_ligand_322	-8.194957
3gc5_ligand_325	-7.7038145
3gc5_ligand_328	-6.4937906
3gc5_ligand_329	-7.8727145
3gc5_ligand_332	-7.500898
3gc5_ligand_350	-7.546495
3gc5_ligand_351	-7.8076673
3gc5_ligand_357	-7.689018
3gc5_ligand_360	-7.0350976
3gc5_ligand_362	-7.0324874
3gc5_ligand_366	-7.006875
3gc5_ligand_367	-9.129368
3gc5_ligand_372	-7.8311357
3gc5_ligand_390	-7.6405225
3gc5_ligand_392	-7.623057
3gc5_ligand_394	-7.6241865
3gc5_ligand_397	-7.827951
3gc5_ligand_405	-7.4365463
3gc5_ligand_415	-7.9676
3gc5_ligand_422	-8.99903
3gc5_ligand_426	-8.219241
3gc5_ligand_430	-7.3006005
3gc5_ligand_442	-7.1851764
3gc5_ligand_469	-7.357472
3gc5_ligand_488	-7.6411
3gc5_ligand_63	-7.441158
3gc5_ligand_67	-7.1717653
3gc5_ligand_72	-7.333022
3gc5_ligand_77	-6.908291
3gc5_ligand_82	-6.7833967
3gc5_ligand_91	-7.666152
3ge7_ligand_110	-8.560744
3ge7_ligand_124	-8.5914345
3ge7_ligand_131	-8.327046
3ge7_ligand_137	-8.35141
3ge7_ligand_138	-8.228138
3ge7_ligand_143	-8.019293
3ge7_ligand_145	-8.880555
3ge7_ligand_147	-7.886879
3ge7_ligand_150	-7.9751287
3ge7_ligand_156	-8.159455
3ge7_ligand_159	-9.304911
3ge7_ligand_165	-8.421728
3ge7_ligand_168	-8.880881
3ge7_ligand_173	-7.8222365
3ge7_ligand_174	-9.702185
3ge7_ligand_175	-8.541875
3ge7_ligand_178	-9.526212
3ge7_ligand_17	-8.657999
3ge7_ligand_182	-9.169399
3ge7_ligand_184	-10.19241
3ge7_ligand_190	-8.7593775
3ge7_ligand_197	-7.9958215
3ge7_ligand_1	-8.984546
3ge7_ligand_202	-9.4626465
3ge7_ligand_204	-8.955544
3ge7_ligand_207	-8.939859
3ge7_ligand_208	-9.144542
3ge7_ligand_209	-8.620638
3ge7_ligand_210	-7.7172637
3ge7_ligand_211	-8.226151
3ge7_ligand_214	-7.9203105
3ge7_ligand_215	-8.963614
3ge7_ligand_217	-9.21902
3ge7_ligand_21	-9.498099
3ge7_ligand_221	-7.7991724
3ge7_ligand_222	-8.726829
3ge7_ligand_225	-7.998588
3ge7_ligand_227	-9.917643
3ge7_ligand_228	-9.268006
3ge7_ligand_229	-8.967187
3ge7_ligand_230	-7.8879566
3ge7_ligand_236	-8.73611
3ge7_ligand_240	-9.122331
3ge7_ligand_243	-8.308236
3ge7_ligand_246	-8.57229
3ge7_ligand_248	-8.638563
3ge7_ligand_250	-8.650654
3ge7_ligand_252	-9.240584
3ge7_ligand_253	-9.203383
3ge7_ligand_258	-9.245045
3ge7_ligand_265	-9.046927
3ge7_ligand_269	-8.4678335
3ge7_ligand_273	-9.849417
3ge7_ligand_27	-8.298009
3ge7_ligand_285	-8.358469
3ge7_ligand_287	-9.260707
3ge7_ligand_293	-8.3158
3ge7_ligand_300	-8.76064
3ge7_ligand_301	-8.577932
3ge7_ligand_312	-9.601769
3ge7_ligand_313	-9.388677
3ge7_ligand_319	-9.5867815
3ge7_ligand_322	-8.583515
3ge7_ligand_323	-9.611095
3ge7_ligand_324	-9.513492
3ge7_ligand_325	-10.149744
3ge7_ligand_328	-10.795227
3ge7_ligand_330	-8.70721
3ge7_ligand_331	-9.333949
3ge7_ligand_332	-9.090665
3ge7_ligand_336	-9.043279
3ge7_ligand_338	-9.56012
3ge7_ligand_351	-8.992522
3ge7_ligand_354	-8.75359
3ge7_ligand_355	-8.979565
3ge7_ligand_373	-8.388818
3ge7_ligand_375	-9.747116
3ge7_ligand_386	-8.938461
3ge7_ligand_388	-9.238709
3ge7_ligand_392	-9.292188
3ge7_ligand_393	-9.834614
3ge7_ligand_399	-8.407036
3ge7_ligand_409	-9.44427
3ge7_ligand_40	-9.397667
3ge7_ligand_456	-9.087093
3ge7_ligand_465	-9.47663
3ge7_ligand_489	-8.264715
3ge7_ligand_499	-9.885169
3ge7_ligand_4	-8.917739
3ge7_ligand_51	-8.651655
3ge7_ligand_56	-8.038885
3ge7_ligand_63	-9.676751
3ge7_ligand_70	-8.752772
3ge7_ligand_72	-9.314799
3ge7_ligand_73	-7.3000402
3ge7_ligand_7	-8.389612
3ge7_ligand_82	-8.135901
3ge7_ligand_83	-8.306066
3ge7_ligand_95	-7.4863997
3ge7_ligand_9	-8.920037
3gnw_ligand_103	-8.305266
3gnw_ligand_104	-9.225507
3gnw_ligand_105	-8.994135
3gnw_ligand_107	-8.186905
3gnw_ligand_110	-9.692484
3gnw_ligand_113	-8.907324
3gnw_ligand_115	-9.327351
3gnw_ligand_117	-9.205707
3gnw_ligand_118	-9.182621
3gnw_ligand_121	-9.051244
3gnw_ligand_122	-8.598607
3gnw_ligand_123	-8.786806
3gnw_ligand_124	-9.483024
3gnw_ligand_126	-9.068482
3gnw_ligand_129	-8.415931
3gnw_ligand_130	-9.328189
3gnw_ligand_134	-8.758332
3gnw_ligand_136	-8.674536
3gnw_ligand_137	-8.11778
3gnw_ligand_13	-10.105602
3gnw_ligand_140	-10.102662
3gnw_ligand_142	-10.4324
3gnw_ligand_143	-9.889545
3gnw_ligand_144	-8.471842
3gnw_ligand_149	-9.505492
3gnw_ligand_150	-10.595117
3gnw_ligand_16	-9.367426
3gnw_ligand_200	-10.443031
3gnw_ligand_202	-8.322735
3gnw_ligand_204	-8.424215
3gnw_ligand_20	-8.782766
3gnw_ligand_221	-8.999485
3gnw_ligand_228	-10.365601
3gnw_ligand_234	-9.272231
3gnw_ligand_23	-8.695528
3gnw_ligand_241	-8.94171
3gnw_ligand_243	-8.913403
3gnw_ligand_245	-7.7088227
3gnw_ligand_246	-7.383788
3gnw_ligand_247	-9.872117
3gnw_ligand_252	-9.739555
3gnw_ligand_258	-9.272054
3gnw_ligand_260	-9.499569
3gnw_ligand_268	-8.6417
3gnw_ligand_269	-9.048557
3gnw_ligand_276	-9.47954
3gnw_ligand_279	-9.018913
3gnw_ligand_27	-9.43267
3gnw_ligand_290	-9.150314
3gnw_ligand_292	-8.826417
3gnw_ligand_295	-9.300401
3gnw_ligand_297	-10.3455305
3gnw_ligand_298	-10.1793785
3gnw_ligand_299	-9.583371
3gnw_ligand_302	-9.342172
3gnw_ligand_314	-9.508851
3gnw_ligand_327	-9.523731
3gnw_ligand_32	-9.375729
3gnw_ligand_334	-9.120268
3gnw_ligand_342	-8.476015
3gnw_ligand_35	-8.913815
3gnw_ligand_365	-8.9528675
3gnw_ligand_374	-8.881667
3gnw_ligand_377	-9.260917
3gnw_ligand_379	-9.691018
3gnw_ligand_382	-10.010573
3gnw_ligand_38	-9.033726
3gnw_ligand_3	-9.34888
3gnw_ligand_400	-10.664835
3gnw_ligand_410	-10.237551
3gnw_ligand_412	-8.981547
3gnw_ligand_414	-10.931919
3gnw_ligand_417	-10.519969
3gnw_ligand_42	-9.241887
3gnw_ligand_43	-9.568166
3gnw_ligand_450	-11.2216215
3gnw_ligand_45	-10.068419
3gnw_ligand_463	-9.575853
3gnw_ligand_465	-11.296081
3gnw_ligand_467	-10.986776
3gnw_ligand_475	-9.912923
3gnw_ligand_48	-8.318233
3gnw_ligand_496	-9.836927
3gnw_ligand_49	-8.905554
3gnw_ligand_500	-10.428155
3gnw_ligand_54	-10.383207
3gnw_ligand_57	-9.05307
3gnw_ligand_58	-9.046336
3gnw_ligand_5	-9.746595
3gnw_ligand_63	-9.195537
3gnw_ligand_69	-9.467514
3gnw_ligand_71	-10.151108
3gnw_ligand_74	-8.989117
3gnw_ligand_81	-9.93814
3gnw_ligand_82	-9.434565
3gnw_ligand_87	-9.886266
3gnw_ligand_91	-8.975521
3gnw_ligand_94	-8.596586
3gnw_ligand_95	-8.2322645
3gnw_ligand_97	-9.774462
3gr2_ligand_104	-6.929137
3gr2_ligand_105	-6.327422
3gr2_ligand_109	-6.343363
3gr2_ligand_113	-5.424456
3gr2_ligand_116	-5.242094
3gr2_ligand_117	-6.5414023
3gr2_ligand_131	-5.4899282
3gr2_ligand_152	-6.866477
