#code_ligand_num	score
3utu_ligand_344	-16.657793
3utu_ligand_348	-22.079456
3utu_ligand_351	-9.861331
3utu_ligand_355	-9.724213
3utu_ligand_357	-11.323227
3utu_ligand_359	-12.448955
3utu_ligand_364	-18.18544
3utu_ligand_365	-14.316301
3utu_ligand_372	-10.854247
3utu_ligand_375	-20.2575
3utu_ligand_384	-15.151907
3utu_ligand_386	-16.318995
3utu_ligand_391	-14.220895
3utu_ligand_396	-20.290302
3utu_ligand_400	-22.34337
3utu_ligand_401	-11.45207
3utu_ligand_402	-13.264669
3utu_ligand_404	-9.037424
3utu_ligand_405	-8.659828
3utu_ligand_409	-19.095428
3utu_ligand_412	-12.07678
3utu_ligand_413	-8.717194
3utu_ligand_415	-11.374089
3utu_ligand_419	-19.303919
3utu_ligand_424	-11.97257
3utu_ligand_437	-39.920605
3utu_ligand_439	-11.026053
3utu_ligand_441	-33.219566
3utu_ligand_445	-32.50685
3utu_ligand_447	-17.194326
3utu_ligand_448	-11.384776
3utu_ligand_449	-28.60512
3utu_ligand_451	-8.068973
3utu_ligand_461	-9.855995
3utu_ligand_463	-10.945676
3utu_ligand_464	-8.160959
3utu_ligand_467	-18.34262
3utu_ligand_473	-7.5279293
3utu_ligand_480	-13.228841
3utu_ligand_481	-9.412581
3utu_ligand_487	-9.163902
3utu_ligand_489	-10.606842
3utu_ligand_5	-7.6631427
3utu_ligand_70	-17.646778
3utu_ligand_84	-16.35299
3utu_ligand_86	-16.039824
3utu_ligand_90	-12.683782
3utu_ligand_92	-14.707113
3utu_ligand_95	-10.435999
3utu_ligand_99	-14.191935
3uuo_ligand_112	-10.001032
3uuo_ligand_115	-8.885881
3uuo_ligand_151	-9.763429
3uuo_ligand_154	-9.212636
3uuo_ligand_161	-11.446834
3uuo_ligand_165	-10.023465
3uuo_ligand_168	-10.751422
3uuo_ligand_169	-10.392195
3uuo_ligand_171	-11.848632
3uuo_ligand_172	-8.878866
3uuo_ligand_174	-9.922184
3uuo_ligand_182	-9.612964
3uuo_ligand_184	-8.514616
3uuo_ligand_186	-11.304875
3uuo_ligand_187	-9.962582
3uuo_ligand_195	-12.739535
3uuo_ligand_197	-13.283219
3uuo_ligand_198	-11.766545
3uuo_ligand_199	-10.104814
3uuo_ligand_200	-9.246219
3uuo_ligand_201	-9.4552555
3uuo_ligand_204	-9.054525
3uuo_ligand_205	-12.128944
3uuo_ligand_206	-9.133444
3uuo_ligand_209	-9.528097
3uuo_ligand_213	-8.741457
3uuo_ligand_214	-10.398949
3uuo_ligand_215	-9.600217
3uuo_ligand_216	-8.796331
3uuo_ligand_220	-10.148637
3uuo_ligand_222	-9.2949915
3uuo_ligand_223	-10.415297
3uuo_ligand_225	-9.316765
3uuo_ligand_226	-8.91066
3uuo_ligand_229	-12.077303
3uuo_ligand_230	-11.9648075
3uuo_ligand_231	-10.617042
3uuo_ligand_233	-11.0791445
3uuo_ligand_234	-10.443349
3uuo_ligand_235	-9.742163
3uuo_ligand_236	-9.883958
3uuo_ligand_238	-8.75273
3uuo_ligand_239	-9.238831
3uuo_ligand_240	-8.668674
3uuo_ligand_241	-9.416511
3uuo_ligand_243	-10.829827
3uuo_ligand_249	-9.595836
3uuo_ligand_250	-9.749434
3uuo_ligand_256	-9.231953
3uuo_ligand_259	-9.292641
3uuo_ligand_262	-9.097661
3uuo_ligand_267	-10.598868
3uuo_ligand_269	-9.421785
3uuo_ligand_270	-8.917236
3uuo_ligand_275	-10.177977
3uuo_ligand_277	-9.95918
3uuo_ligand_280	-9.651929
3uuo_ligand_282	-10.774092
3uuo_ligand_284	-9.30553
3uuo_ligand_287	-10.861048
3uuo_ligand_292	-10.5299635
3uuo_ligand_295	-11.674508
3uuo_ligand_297	-13.089594
3uuo_ligand_29	-8.909012
3uuo_ligand_302	-8.907089
3uuo_ligand_306	-10.997313
3uuo_ligand_315	-8.626404
3uuo_ligand_318	-11.260113
3uuo_ligand_323	-10.079971
3uuo_ligand_325	-9.455467
3uuo_ligand_326	-8.074229
3uuo_ligand_328	-9.378258
3uuo_ligand_329	-9.20056
3uuo_ligand_331	-11.266268
3uuo_ligand_332	-11.119476
3uuo_ligand_334	-9.7103405
3uuo_ligand_335	-10.599723
3uuo_ligand_336	-11.130679
3uuo_ligand_338	-10.621412
3uuo_ligand_342	-8.771501
3uuo_ligand_343	-10.304196
3uuo_ligand_348	-9.402583
3uuo_ligand_349	-10.215378
3uuo_ligand_350	-10.1958065
3uuo_ligand_355	-9.088545
3uuo_ligand_374	-8.375795
3uuo_ligand_379	-8.794418
3uuo_ligand_381	-9.1801815
3uuo_ligand_388	-8.883076
3uuo_ligand_390	-9.148442
3uuo_ligand_393	-10.132008
3uuo_ligand_397	-8.845259
3uuo_ligand_3	-8.888592
3uuo_ligand_400	-9.317663
3uuo_ligand_414	-8.372914
3uuo_ligand_420	-8.1997385
3uuo_ligand_47	-8.260196
3uuo_ligand_493	-7.939645
3uuo_ligand_57	-9.882637
3uuo_ligand_58	-8.728577
3wtj_ligand_10	-6.196757
3wtj_ligand_129	-6.2268724
3wtj_ligand_148	-6.690247
3wtj_ligand_151	-6.63835
3wtj_ligand_152	-6.4318795
3wtj_ligand_153	-7.0953636
3wtj_ligand_156	-6.4750857
3wtj_ligand_157	-6.36789
3wtj_ligand_159	-6.604784
3wtj_ligand_161	-7.5985146
3wtj_ligand_162	-6.373826
3wtj_ligand_168	-5.940073
3wtj_ligand_169	-5.801939
3wtj_ligand_170	-8.039039
3wtj_ligand_171	-7.3144536
3wtj_ligand_172	-5.517241
3wtj_ligand_176	-5.901418
3wtj_ligand_177	-6.0455627
3wtj_ligand_178	-9.601703
3wtj_ligand_179	-6.1827807
3wtj_ligand_183	-5.5381474
3wtj_ligand_184	-5.501521
3wtj_ligand_189	-6.6825256
3wtj_ligand_191	-7.914832
3wtj_ligand_192	-6.886812
3wtj_ligand_193	-6.56527
3wtj_ligand_195	-6.4602523
3wtj_ligand_198	-5.810749
3wtj_ligand_200	-6.106981
3wtj_ligand_203	-6.1838126
3wtj_ligand_205	-6.796443
3wtj_ligand_216	-6.489115
3wtj_ligand_219	-6.5916004
3wtj_ligand_220	-5.696465
3wtj_ligand_225	-6.1134577
3wtj_ligand_235	-5.478262
3wtj_ligand_240	-5.644328
3wtj_ligand_243	-6.3806553
3wtj_ligand_247	-6.9592543
3wtj_ligand_249	-5.344957
3wtj_ligand_251	-5.517679
3wtj_ligand_252	-6.614719
3wtj_ligand_255	-6.0615416
3wtj_ligand_25	-6.096546
3wtj_ligand_266	-6.1432624
3wtj_ligand_269	-6.1070514
3wtj_ligand_270	-5.338356
3wtj_ligand_275	-6.114046
3wtj_ligand_278	-6.3021784
3wtj_ligand_279	-5.9779305
3wtj_ligand_284	-6.5526495
3wtj_ligand_287	-6.858923
3wtj_ligand_291	-5.5608873
3wtj_ligand_292	-6.130893
3wtj_ligand_293	-5.685565
3wtj_ligand_295	-6.849836
3wtj_ligand_298	-5.654819
3wtj_ligand_299	-5.8091474
3wtj_ligand_301	-6.2092404
3wtj_ligand_304	-5.0929713
3wtj_ligand_310	-5.967962
3wtj_ligand_311	-5.638998
3wtj_ligand_318	-6.1060367
3wtj_ligand_321	-5.874558
3wtj_ligand_322	-6.4006286
3wtj_ligand_326	-5.3239236
3wtj_ligand_328	-6.4478617
3wtj_ligand_329	-5.8542123
3wtj_ligand_330	-6.710211
3wtj_ligand_331	-5.7555337
3wtj_ligand_332	-6.335539
3wtj_ligand_333	-5.7882876
3wtj_ligand_334	-6.3540235
3wtj_ligand_336	-6.896324
3wtj_ligand_338	-5.8955946
3wtj_ligand_342	-6.593258
3wtj_ligand_343	-6.0744586
3wtj_ligand_344	-6.0752397
3wtj_ligand_345	-5.7952123
3wtj_ligand_346	-5.8509088
3wtj_ligand_347	-6.3461633
3wtj_ligand_368	-6.272653
3wtj_ligand_373	-6.453822
3wtj_ligand_37	-6.321284
3wtj_ligand_383	-6.0052867
3wtj_ligand_387	-6.5557733
3wtj_ligand_392	-6.484688
3wtj_ligand_393	-6.740502
3wtj_ligand_394	-5.827868
3wtj_ligand_395	-6.05461
3wtj_ligand_396	-6.3736606
3wtj_ligand_416	-6.9436088
3wtj_ligand_430	-6.288752
3wtj_ligand_443	-6.091858
3wtj_ligand_446	-6.28212
3wtj_ligand_52	-5.8353696
3wtj_ligand_6	-6.1923356
3wtj_ligand_76	-5.9245796
3wtj_ligand_81	-6.2658925
3wtj_ligand_87	-6.0318465
3wz8_ligand_12	-8.294015
3wz8_ligand_131	-9.0409775
3wz8_ligand_148	-9.168497
3wz8_ligand_151	-25.391756
3wz8_ligand_155	-19.85246
3wz8_ligand_156	-25.072563
3wz8_ligand_157	-23.178675
3wz8_ligand_162	-16.85226
3wz8_ligand_164	-19.742432
3wz8_ligand_166	-18.686136
3wz8_ligand_168	-18.28673
3wz8_ligand_173	-26.649857
3wz8_ligand_177	-24.657328
3wz8_ligand_183	-22.049728
3wz8_ligand_184	-23.79621
3wz8_ligand_190	-20.405567
3wz8_ligand_191	-14.849264
3wz8_ligand_196	-15.682293
3wz8_ligand_197	-21.282267
3wz8_ligand_198	-17.999783
3wz8_ligand_201	-17.581083
3wz8_ligand_202	-15.304403
3wz8_ligand_208	-15.739653
3wz8_ligand_211	-19.184662
3wz8_ligand_215	-26.343336
3wz8_ligand_221	-16.106909
3wz8_ligand_223	-22.71518
3wz8_ligand_227	-21.972967
3wz8_ligand_228	-20.700163
3wz8_ligand_233	-22.161697
3wz8_ligand_235	-19.985191
3wz8_ligand_238	-20.70717
3wz8_ligand_239	-21.302567
3wz8_ligand_240	-20.78704
3wz8_ligand_247	-21.297739
3wz8_ligand_249	-21.522964
3wz8_ligand_253	-16.205965
3wz8_ligand_254	-20.696438
3wz8_ligand_255	-15.379781
3wz8_ligand_259	-18.771278
3wz8_ligand_262	-15.2929945
3wz8_ligand_265	-18.580198
3wz8_ligand_266	-21.942528
3wz8_ligand_267	-19.00342
3wz8_ligand_272	-20.58648
3wz8_ligand_273	-15.177604
3wz8_ligand_274	-18.349173
3wz8_ligand_278	-22.60005
3wz8_ligand_293	-21.79815
3wz8_ligand_297	-21.47684
3wz8_ligand_299	-21.164442
3wz8_ligand_300	-20.07729
3wz8_ligand_308	-15.6125345
3wz8_ligand_311	-15.866986
3wz8_ligand_312	-19.69384
3wz8_ligand_314	-17.247526
3wz8_ligand_320	-20.072422
3wz8_ligand_324	-24.150717
3wz8_ligand_326	-22.272308
3wz8_ligand_327	-18.727499
3wz8_ligand_333	-19.384096
3wz8_ligand_334	-22.975756
3wz8_ligand_335	-16.428102
3wz8_ligand_336	-16.080662
3wz8_ligand_337	-26.5667
3wz8_ligand_339	-20.834734
3wz8_ligand_33	-8.497845
3wz8_ligand_341	-23.811531
3wz8_ligand_342	-19.67832
3wz8_ligand_346	-22.161623
3wz8_ligand_349	-19.297985
3wz8_ligand_358	-9.743958
3wz8_ligand_360	-12.210117
3wz8_ligand_363	-14.74211
3wz8_ligand_367	-12.234032
3wz8_ligand_381	-12.242603
3wz8_ligand_382	-16.378517
3wz8_ligand_383	-16.337332
3wz8_ligand_387	-12.978125
3wz8_ligand_391	-11.010635
3wz8_ligand_393	-17.258686
3wz8_ligand_394	-11.134452
3wz8_ligand_397	-14.718674
3wz8_ligand_398	-16.27636
3wz8_ligand_400	-15.459217
3wz8_ligand_405	-11.332967
3wz8_ligand_413	-11.322741
3wz8_ligand_416	-9.003382
3wz8_ligand_420	-10.756263
3wz8_ligand_437	-10.469882
3wz8_ligand_438	-11.385514
3wz8_ligand_439	-10.8946705
3wz8_ligand_468	-10.07223
3wz8_ligand_478	-9.717716
3wz8_ligand_48	-8.059457
3wz8_ligand_493	-9.953534
3wz8_ligand_54	-12.468812
3wz8_ligand_66	-8.306914
3wz8_ligand_69	-9.5667515
3wz8_ligand_75	-9.637908
3zdg_ligand_100	-7.301189
3zdg_ligand_101	-6.754163
3zdg_ligand_104	-7.3045864
3zdg_ligand_107	-7.2708116
3zdg_ligand_134	-6.9606977
3zdg_ligand_151	-7.370575
3zdg_ligand_152	-8.262428
3zdg_ligand_156	-7.7362857
3zdg_ligand_157	-7.3719954
3zdg_ligand_158	-8.067318
3zdg_ligand_159	-6.655282
3zdg_ligand_15	-6.8878155
3zdg_ligand_162	-8.095904
3zdg_ligand_165	-6.469264
3zdg_ligand_166	-7.36119
3zdg_ligand_168	-7.1916738
3zdg_ligand_172	-7.468259
3zdg_ligand_173	-7.4812775
3zdg_ligand_176	-7.1528745
3zdg_ligand_178	-7.7910657
3zdg_ligand_181	-7.5766335
3zdg_ligand_184	-6.655389
3zdg_ligand_185	-7.7523904
3zdg_ligand_186	-7.535841
