#code_ligand_num	score
3p5o_ligand_103	-9.798804
3p5o_ligand_152	-8.05563
3p5o_ligand_154	-8.201595
3p5o_ligand_157	-8.642963
3p5o_ligand_159	-7.399518
3p5o_ligand_160	-7.834002
3p5o_ligand_161	-7.9813533
3p5o_ligand_170	-7.913246
3p5o_ligand_173	-7.4046593
3p5o_ligand_175	-7.8995686
3p5o_ligand_176	-8.564518
3p5o_ligand_177	-8.026205
3p5o_ligand_183	-6.839548
3p5o_ligand_185	-7.488443
3p5o_ligand_187	-7.6558294
3p5o_ligand_191	-7.8907056
3p5o_ligand_192	-8.589075
3p5o_ligand_193	-7.214768
3p5o_ligand_195	-8.076417
3p5o_ligand_196	-7.3658686
3p5o_ligand_200	-8.211606
3p5o_ligand_202	-8.24339
3p5o_ligand_207	-7.9661713
3p5o_ligand_208	-8.388713
3p5o_ligand_209	-8.745166
3p5o_ligand_211	-8.698524
3p5o_ligand_212	-8.719023
3p5o_ligand_213	-8.580398
3p5o_ligand_218	-9.121978
3p5o_ligand_222	-7.856336
3p5o_ligand_225	-8.97261
3p5o_ligand_227	-7.9810677
3p5o_ligand_230	-8.039225
3p5o_ligand_231	-7.682437
3p5o_ligand_233	-8.046635
3p5o_ligand_235	-8.453488
3p5o_ligand_236	-8.695336
3p5o_ligand_23	-9.086782
3p5o_ligand_240	-9.1483965
3p5o_ligand_241	-8.596315
3p5o_ligand_242	-8.781575
3p5o_ligand_243	-8.631181
3p5o_ligand_245	-8.622676
3p5o_ligand_249	-7.2718782
3p5o_ligand_260	-8.148568
3p5o_ligand_268	-8.736064
3p5o_ligand_276	-8.490334
3p5o_ligand_277	-8.158333
3p5o_ligand_293	-8.473949
3p5o_ligand_296	-8.824688
3p5o_ligand_300	-6.863466
3p5o_ligand_308	-7.67088
3p5o_ligand_309	-8.5096035
3p5o_ligand_311	-7.830005
3p5o_ligand_326	-8.375199
3p5o_ligand_328	-7.5633907
3p5o_ligand_329	-8.503465
3p5o_ligand_331	-8.451545
3p5o_ligand_333	-8.53131
3p5o_ligand_337	-8.427746
3p5o_ligand_339	-8.559366
3p5o_ligand_340	-8.042524
3p5o_ligand_341	-8.134231
3p5o_ligand_349	-6.8375587
3p5o_ligand_350	-8.704204
3p5o_ligand_352	-9.276759
3p5o_ligand_356	-9.760753
3p5o_ligand_364	-9.475043
3p5o_ligand_365	-8.072996
3p5o_ligand_366	-10.601889
3p5o_ligand_374	-8.291363
3p5o_ligand_380	-8.087036
3p5o_ligand_381	-8.758748
3p5o_ligand_382	-8.309149
3p5o_ligand_383	-7.200793
3p5o_ligand_387	-7.7347174
3p5o_ligand_389	-8.220668
3p5o_ligand_390	-7.7056828
3p5o_ligand_392	-8.323873
3p5o_ligand_393	-9.41711
3p5o_ligand_394	-8.036223
3p5o_ligand_395	-7.559155
3p5o_ligand_396	-7.7370276
3p5o_ligand_397	-7.8698344
3p5o_ligand_398	-7.819343
3p5o_ligand_39	-8.159531
3p5o_ligand_400	-9.2054405
3p5o_ligand_411	-9.826305
3p5o_ligand_440	-8.200579
3p5o_ligand_446	-9.618214
3p5o_ligand_466	-8.176531
3p5o_ligand_47	-8.537755
3p5o_ligand_490	-9.156543
3p5o_ligand_62	-8.079146
3p5o_ligand_68	-8.602136
3p5o_ligand_78	-9.227171
3p5o_ligand_79	-8.37801
3p5o_ligand_80	-8.082177
3p5o_ligand_82	-7.9417567
3p5o_ligand_86	-7.823
3prs_ligand_106	-13.098378
3prs_ligand_110	-12.029972
3prs_ligand_140	-11.842779
3prs_ligand_146	-12.043823
3prs_ligand_147	-14.800737
3prs_ligand_153	-20.74138
3prs_ligand_156	-19.0154
3prs_ligand_157	-19.927494
3prs_ligand_160	-16.838444
3prs_ligand_164	-21.83054
3prs_ligand_165	-18.330652
3prs_ligand_166	-11.520466
3prs_ligand_167	-18.559013
3prs_ligand_168	-20.861322
3prs_ligand_171	-14.133593
3prs_ligand_173	-18.47558
3prs_ligand_175	-18.041695
3prs_ligand_176	-19.382593
3prs_ligand_177	-14.625454
3prs_ligand_178	-18.67751
3prs_ligand_180	-18.215347
3prs_ligand_182	-19.316933
3prs_ligand_186	-19.725365
3prs_ligand_187	-19.731493
3prs_ligand_189	-19.488493
3prs_ligand_190	-16.5554
3prs_ligand_192	-20.242006
3prs_ligand_194	-21.666492
3prs_ligand_195	-14.642221
3prs_ligand_196	-21.750225
3prs_ligand_197	-16.495638
3prs_ligand_198	-21.430761
3prs_ligand_203	-15.31427
3prs_ligand_209	-10.826238
3prs_ligand_213	-15.374312
3prs_ligand_216	-18.154991
3prs_ligand_217	-17.351843
3prs_ligand_218	-16.192947
3prs_ligand_220	-15.736988
3prs_ligand_222	-18.551037
3prs_ligand_224	-15.769382
3prs_ligand_232	-16.905851
3prs_ligand_233	-16.192396
3prs_ligand_236	-13.733707
3prs_ligand_238	-14.818671
3prs_ligand_239	-24.274271
3prs_ligand_244	-18.00348
3prs_ligand_245	-20.042297
3prs_ligand_251	-16.570839
3prs_ligand_256	-16.42121
3prs_ligand_264	-16.197418
3prs_ligand_270	-19.882454
3prs_ligand_271	-15.014246
3prs_ligand_273	-17.513422
3prs_ligand_278	-17.57089
3prs_ligand_284	-19.950699
3prs_ligand_285	-16.161463
3prs_ligand_288	-17.832869
3prs_ligand_291	-19.207453
3prs_ligand_296	-15.670149
3prs_ligand_301	-14.1195545
3prs_ligand_303	-11.634748
3prs_ligand_306	-19.862213
3prs_ligand_307	-12.434012
3prs_ligand_309	-16.173225
3prs_ligand_311	-20.281748
3prs_ligand_313	-16.018671
3prs_ligand_317	-15.1799965
3prs_ligand_318	-20.117996
3prs_ligand_320	-13.371346
3prs_ligand_321	-18.121058
3prs_ligand_322	-16.09918
3prs_ligand_323	-21.485966
3prs_ligand_327	-18.427505
3prs_ligand_330	-18.148798
3prs_ligand_333	-25.429253
3prs_ligand_338	-18.720652
3prs_ligand_339	-22.048481
3prs_ligand_343	-16.004284
3prs_ligand_346	-18.457672
3prs_ligand_347	-18.311798
3prs_ligand_354	-8.30755
3prs_ligand_356	-8.664081
3prs_ligand_364	-9.747186
3prs_ligand_375	-12.083992
3prs_ligand_378	-11.398618
3prs_ligand_379	-10.865706
3prs_ligand_382	-11.777795
3prs_ligand_398	-11.509365
3prs_ligand_402	-8.892543
3prs_ligand_417	-9.550043
3prs_ligand_420	-9.942575
3prs_ligand_431	-10.082879
3prs_ligand_432	-10.939384
3prs_ligand_445	-9.055238
3prs_ligand_448	-10.587203
3prs_ligand_460	-10.868638
3prs_ligand_485	-10.4299965
3prs_ligand_75	-12.713022
3prs_ligand_7	-13.516587
3pww_ligand_112	-12.493598
3pww_ligand_116	-12.035643
3pww_ligand_127	-11.438033
3pww_ligand_129	-9.919767
3pww_ligand_141	-13.0500965
3pww_ligand_152	-21.282505
3pww_ligand_154	-16.718294
3pww_ligand_157	-14.468301
3pww_ligand_161	-16.63495
3pww_ligand_163	-19.250656
3pww_ligand_165	-22.792582
3pww_ligand_174	-23.807653
3pww_ligand_180	-13.790099
3pww_ligand_181	-18.088305
3pww_ligand_182	-20.562803
3pww_ligand_183	-23.16195
3pww_ligand_184	-14.544789
3pww_ligand_185	-16.170555
3pww_ligand_190	-13.13305
3pww_ligand_192	-14.7734375
3pww_ligand_194	-27.861555
3pww_ligand_195	-19.242813
3pww_ligand_198	-16.820005
3pww_ligand_199	-13.902281
3pww_ligand_201	-12.185563
3pww_ligand_205	-16.004734
3pww_ligand_206	-16.971737
3pww_ligand_207	-16.614725
3pww_ligand_208	-10.471939
3pww_ligand_209	-19.11843
3pww_ligand_210	-13.050169
3pww_ligand_211	-11.457948
3pww_ligand_214	-15.4703045
3pww_ligand_215	-13.172371
3pww_ligand_217	-14.912411
3pww_ligand_220	-16.902025
3pww_ligand_221	-16.561785
3pww_ligand_223	-12.821529
3pww_ligand_224	-20.739954
3pww_ligand_228	-10.195682
3pww_ligand_234	-17.534853
3pww_ligand_238	-16.100136
3pww_ligand_240	-16.891628
3pww_ligand_245	-14.768506
3pww_ligand_249	-20.474726
3pww_ligand_250	-19.005745
3pww_ligand_253	-14.726271
3pww_ligand_254	-18.457125
3pww_ligand_259	-16.41501
3pww_ligand_264	-20.40045
3pww_ligand_266	-13.366282
3pww_ligand_275	-15.309666
3pww_ligand_277	-11.760791
3pww_ligand_282	-13.7627735
3pww_ligand_285	-22.015678
3pww_ligand_291	-15.28991
3pww_ligand_302	-15.43346
3pww_ligand_303	-13.5219755
3pww_ligand_307	-16.920044
3pww_ligand_308	-16.007914
3pww_ligand_310	-14.863769
3pww_ligand_312	-15.079695
3pww_ligand_313	-14.729404
3pww_ligand_315	-18.354315
3pww_ligand_320	-16.684233
3pww_ligand_325	-15.875611
3pww_ligand_326	-20.947754
3pww_ligand_329	-18.736567
3pww_ligand_331	-14.222172
3pww_ligand_332	-25.23653
3pww_ligand_335	-20.7105
3pww_ligand_337	-19.470596
3pww_ligand_342	-23.346294
3pww_ligand_344	-19.38814
3pww_ligand_349	-19.619461
3pww_ligand_350	-16.666533
3pww_ligand_383	-10.930452
3pww_ligand_387	-14.019641
3pww_ligand_388	-11.916286
3pww_ligand_38	-9.396632
3pww_ligand_395	-15.183326
3pww_ligand_397	-16.252445
3pww_ligand_400	-12.257569
3pww_ligand_401	-8.69998
3pww_ligand_426	-8.954438
3pww_ligand_427	-10.556785
3pww_ligand_429	-9.774821
3pww_ligand_433	-10.516337
3pww_ligand_436	-11.353578
3pww_ligand_437	-9.166785
3pww_ligand_441	-11.070766
3pww_ligand_443	-10.769964
3pww_ligand_449	-10.50102
3pww_ligand_453	-8.457778
3pww_ligand_475	-9.220265
3pww_ligand_482	-9.34644
3pww_ligand_488	-8.62182
3pww_ligand_490	-8.652126
3pww_ligand_499	-8.936185
3pww_ligand_67	-19.13889
3pxf_ligand_117	-8.358351
3pxf_ligand_120	-8.616407
3pxf_ligand_125	-8.426497
3pxf_ligand_134	-8.436821
3pxf_ligand_151	-8.654884
3pxf_ligand_153	-8.69624
3pxf_ligand_159	-8.1344595
3pxf_ligand_164	-8.186957
3pxf_ligand_167	-8.205136
3pxf_ligand_168	-9.1640215
3pxf_ligand_176	-8.186233
3pxf_ligand_179	-8.569276
3pxf_ligand_180	-7.3804913
3pxf_ligand_185	-8.059997
3pxf_ligand_193	-7.6993995
3pxf_ligand_196	-8.271872
3pxf_ligand_197	-7.640344
3pxf_ligand_199	-8.672775
3pxf_ligand_200	-8.356504
3pxf_ligand_202	-8.7655525
3pxf_ligand_203	-8.666476
3pxf_ligand_204	-8.945122
3pxf_ligand_205	-8.649304
3pxf_ligand_208	-9.539827
3pxf_ligand_209	-7.6243725
3pxf_ligand_213	-8.779786
3pxf_ligand_214	-8.679688
3pxf_ligand_215	-8.739178
3pxf_ligand_219	-8.832007
3pxf_ligand_221	-8.085065
3pxf_ligand_223	-7.914257
3pxf_ligand_224	-9.1235895
3pxf_ligand_225	-7.9020257
3pxf_ligand_229	-8.218473
3pxf_ligand_230	-8.164794
3pxf_ligand_235	-8.741549
3pxf_ligand_236	-8.072011
3pxf_ligand_237	-8.7041445
3pxf_ligand_240	-8.384851
3pxf_ligand_241	-8.551111
3pxf_ligand_245	-8.269151
3pxf_ligand_247	-8.070033
3pxf_ligand_261	-7.7907667
3pxf_ligand_265	-7.7723384
3pxf_ligand_267	-8.767858
3pxf_ligand_26	-8.486722
3pxf_ligand_270	-8.398454
3pxf_ligand_274	-8.250022
3pxf_ligand_276	-7.572237
3pxf_ligand_277	-8.310172
3pxf_ligand_278	-8.573341
3pxf_ligand_288	-7.7941737
3pxf_ligand_290	-7.879744
3pxf_ligand_291	-8.639306
3pxf_ligand_292	-7.488193
3pxf_ligand_293	-7.8442926
3pxf_ligand_295	-8.067401
3pxf_ligand_297	-8.281126
3pxf_ligand_298	-8.052758
3pxf_ligand_299	-8.21031
3pxf_ligand_300	-7.9689837
3pxf_ligand_301	-8.023808
3pxf_ligand_310	-8.007011
3pxf_ligand_315	-8.059411
3pxf_ligand_319	-7.6230197
3pxf_ligand_327	-8.090111
3pxf_ligand_330	-8.206289
3pxf_ligand_331	-7.9382463
