#code_ligand_num	score
1a30_ligand_100	-5.40854
1a30_ligand_105	-6.658134
1a30_ligand_106	-6.5155005
1a30_ligand_108	-7.03168
1a30_ligand_119	-6.786133
1a30_ligand_134	-7.6578655
1a30_ligand_138	-6.397393
1a30_ligand_13	-6.11511
1a30_ligand_141	-6.294776
1a30_ligand_148	-7.1884747
1a30_ligand_14	-6.227283
1a30_ligand_158	-7.1799574
1a30_ligand_159	-8.915893
1a30_ligand_15	-6.4833674
1a30_ligand_166	-6.9160385
1a30_ligand_167	-7.377898
1a30_ligand_169	-6.6652255
1a30_ligand_16	-5.4574075
1a30_ligand_171	-6.2574606
1a30_ligand_182	-7.192221
1a30_ligand_196	-7.470488
1a30_ligand_197	-7.726293
1a30_ligand_202	-4.9638543
1a30_ligand_203	-5.3959613
1a30_ligand_206	-5.641357
1a30_ligand_207	-6.0329113
1a30_ligand_215	-5.480511
1a30_ligand_216	-5.627921
1a30_ligand_217	-6.813822
1a30_ligand_218	-5.6445355
1a30_ligand_219	-5.587444
1a30_ligand_21	-5.3168235
1a30_ligand_220	-5.432328
1a30_ligand_225	-5.2687716
1a30_ligand_22	-6.3139653
1a30_ligand_233	-6.1327353
1a30_ligand_239	-7.012316
1a30_ligand_23	-6.1555185
1a30_ligand_243	-5.0596285
1a30_ligand_246	-6.651057
1a30_ligand_248	-7.4437814
1a30_ligand_253	-5.9998717
1a30_ligand_26	-6.987581
1a30_ligand_274	-6.725425
1a30_ligand_275	-6.641243
1a30_ligand_279	-7.376478
1a30_ligand_27	-6.1026554
1a30_ligand_282	-6.460997
1a30_ligand_290	-6.2724075
1a30_ligand_291	-5.6212525
1a30_ligand_294	-6.7212844
1a30_ligand_29	-5.7306476
1a30_ligand_2	-6.8885913
1a30_ligand_310	-5.4168324
1a30_ligand_314	-5.8143444
1a30_ligand_315	-5.888633
1a30_ligand_318	-6.046623
1a30_ligand_323	-5.8611517
1a30_ligand_326	-5.7834997
1a30_ligand_329	-5.9316783
1a30_ligand_34	-6.144978
1a30_ligand_353	-7.8429213
1a30_ligand_356	-7.2815223
1a30_ligand_357	-7.1502852
1a30_ligand_363	-5.635636
1a30_ligand_366	-7.5724316
1a30_ligand_36	-6.1817026
1a30_ligand_372	-5.0003567
1a30_ligand_379	-7.0959415
1a30_ligand_38	-7.545855
1a30_ligand_391	-6.3362546
1a30_ligand_395	-7.788767
1a30_ligand_398	-7.3566585
1a30_ligand_39	-5.030451
1a30_ligand_411	-7.788479
1a30_ligand_421	-6.341798
1a30_ligand_42	-5.5203247
1a30_ligand_45	-7.141861
1a30_ligand_467	-7.8559184
1a30_ligand_481	-6.8538585
1a30_ligand_496	-6.3774343
1a30_ligand_49	-6.4808645
1a30_ligand_52	-5.969433
1a30_ligand_56	-4.760222
1a30_ligand_59	-6.9360223
1a30_ligand_63	-5.51736
1a30_ligand_64	-6.359456
1a30_ligand_68	-7.6204166
1a30_ligand_6	-4.568595
1a30_ligand_73	-6.6404333
1a30_ligand_76	-6.7029815
1a30_ligand_7	-6.9423556
1a30_ligand_81	-6.4501038
1a30_ligand_82	-5.5207763
1a30_ligand_88	-5.2447076
1a30_ligand_94	-7.2580733
1a30_ligand_95	-5.6443768
1a30_ligand_97	-4.896283
1a30_ligand_99	-4.9631243
1a30_ligand_9	-5.878597
1bcu_ligand_105	-6.927817
1bcu_ligand_126	-6.1463094
1bcu_ligand_153	-6.3477364
1bcu_ligand_170	-5.847697
1bcu_ligand_172	-6.0484676
1bcu_ligand_188	-5.6964545
1bcu_ligand_189	-5.975715
1bcu_ligand_211	-6.022186
1bcu_ligand_220	-6.919164
1bcu_ligand_221	-5.5983977
1bcu_ligand_239	-6.452597
1bcu_ligand_241	-6.1671886
1bcu_ligand_248	-6.2957397
1bcu_ligand_250	-6.4849577
1bcu_ligand_252	-6.4589896
1bcu_ligand_256	-5.436081
1bcu_ligand_258	-5.8596573
1bcu_ligand_265	-5.7815948
1bcu_ligand_269	-6.298186
1bcu_ligand_26	-6.8001137
1bcu_ligand_270	-4.4635706
1bcu_ligand_273	-6.6108727
1bcu_ligand_277	-5.322069
1bcu_ligand_278	-5.7703967
1bcu_ligand_284	-5.999499
1bcu_ligand_286	-4.8844485
1bcu_ligand_288	-4.9064207
1bcu_ligand_293	-5.3743873
1bcu_ligand_300	-5.936092
1bcu_ligand_312	-6.594924
1bcu_ligand_327	-6.859059
1bcu_ligand_329	-6.9476576
1bcu_ligand_342	-6.1279736
1bcu_ligand_343	-6.8689804
1bcu_ligand_345	-6.6314387
1bcu_ligand_347	-4.351321
1bcu_ligand_352	-5.9747787
1bcu_ligand_361	-5.330499
1bcu_ligand_362	-5.4150867
1bcu_ligand_364	-4.831662
1bcu_ligand_365	-5.714949
1bcu_ligand_366	-4.901818
1bcu_ligand_367	-3.7482536
1bcu_ligand_369	-3.943267
1bcu_ligand_371	-3.7725356
1bcu_ligand_372	-4.0206223
1bcu_ligand_374	-3.691037
1bcu_ligand_376	-3.7095275
1bcu_ligand_377	-3.508913
1bcu_ligand_379	-3.5170107
1bcu_ligand_380	-3.8924124
1bcu_ligand_381	-3.9379425
1bcu_ligand_382	-4.673324
1bcu_ligand_383	-4.0925584
1bcu_ligand_385	-3.3745744
1bcu_ligand_386	-3.8228083
1bcu_ligand_387	-3.6020494
1bcu_ligand_388	-3.769597
1bcu_ligand_389	-3.9270644
1bcu_ligand_390	-3.7488546
1bcu_ligand_392	-3.3998013
1bcu_ligand_393	-3.3292062
1bcu_ligand_395	-3.4742186
1bcu_ligand_396	-3.4382653
1bcu_ligand_398	-3.33789
1bcu_ligand_399	-3.3984442
1bcu_ligand_400	-3.674851
1bcu_ligand_401	-7.048631
1bcu_ligand_408	-6.0249586
1bcu_ligand_411	-5.5114574
1bcu_ligand_413	-6.611901
1bcu_ligand_415	-6.3020654
1bcu_ligand_416	-4.820455
1bcu_ligand_417	-7.389347
1bcu_ligand_418	-3.9763005
1bcu_ligand_422	-4.116327
1bcu_ligand_424	-5.6041822
1bcu_ligand_426	-5.264495
1bcu_ligand_429	-3.7509773
1bcu_ligand_439	-4.5988903
1bcu_ligand_440	-3.6011703
1bcu_ligand_444	-4.767611
1bcu_ligand_445	-3.702743
1bcu_ligand_446	-3.4104195
1bcu_ligand_447	-3.715641
1bcu_ligand_454	-6.8551764
1bcu_ligand_455	-6.1815815
1bcu_ligand_459	-7.2665305
1bcu_ligand_464	-6.372314
1bcu_ligand_469	-6.2260776
1bcu_ligand_477	-4.6748405
1bcu_ligand_481	-4.3567986
1bcu_ligand_485	-3.9988198
1bcu_ligand_486	-4.5052886
1bcu_ligand_488	-5.440046
1bcu_ligand_489	-4.3998823
1bcu_ligand_492	-4.03894
1bcu_ligand_495	-4.8902545
1bcu_ligand_496	-5.587882
1bcu_ligand_73	-6.9821205
1bzc_ligand_102	-7.055398
1bzc_ligand_113	-6.5057282
1bzc_ligand_126	-7.1268516
1bzc_ligand_127	-6.8559065
