#code_ligand_num	score
2p15_ligand_102	-6.5460563
2p15_ligand_103	-6.83289
2p15_ligand_126	-9.233156
2p15_ligand_141	-7.14376
2p15_ligand_146	-7.312309
2p15_ligand_151	-9.035565
2p15_ligand_152	-9.378385
2p15_ligand_155	-8.536808
2p15_ligand_169	-8.596327
2p15_ligand_175	-7.5753417
2p15_ligand_177	-8.824909
2p15_ligand_179	-8.810001
2p15_ligand_17	-6.7582726
2p15_ligand_183	-9.82921
2p15_ligand_184	-7.2699437
2p15_ligand_190	-9.78679
2p15_ligand_192	-10.874101
2p15_ligand_195	-8.3365135
2p15_ligand_196	-9.304632
2p15_ligand_202	-8.089972
2p15_ligand_203	-6.755891
2p15_ligand_206	-5.493789
2p15_ligand_208	-6.3789544
2p15_ligand_209	-5.9496493
2p15_ligand_211	-7.324074
2p15_ligand_212	-6.238518
2p15_ligand_213	-6.0403733
2p15_ligand_214	-7.0756164
2p15_ligand_216	-5.7675576
2p15_ligand_217	-6.008314
2p15_ligand_218	-5.554042
2p15_ligand_219	-6.535017
2p15_ligand_21	-5.4015536
2p15_ligand_220	-7.6212935
2p15_ligand_221	-6.5300975
2p15_ligand_222	-6.1112227
2p15_ligand_223	-6.8709955
2p15_ligand_228	-4.9724164
2p15_ligand_229	-7.4861264
2p15_ligand_230	-5.696244
2p15_ligand_231	-5.3277416
2p15_ligand_232	-5.8512173
2p15_ligand_234	-5.3686166
2p15_ligand_235	-6.41207
2p15_ligand_236	-5.785748
2p15_ligand_237	-6.0984125
2p15_ligand_238	-6.3760076
2p15_ligand_240	-5.7707834
2p15_ligand_241	-5.8301654
2p15_ligand_242	-4.903669
2p15_ligand_243	-6.42065
2p15_ligand_244	-6.44814
2p15_ligand_245	-6.8016157
2p15_ligand_246	-5.754057
2p15_ligand_247	-6.0690794
2p15_ligand_248	-6.38461
2p15_ligand_250	-6.471833
2p15_ligand_259	-7.471516
2p15_ligand_270	-5.6992736
2p15_ligand_272	-7.50597
2p15_ligand_274	-7.508782
2p15_ligand_275	-9.243893
2p15_ligand_276	-8.10021
2p15_ligand_278	-7.952614
2p15_ligand_279	-4.991284
2p15_ligand_280	-8.540167
2p15_ligand_283	-7.2444477
2p15_ligand_290	-6.9321785
2p15_ligand_291	-8.095322
2p15_ligand_295	-7.2188025
2p15_ligand_297	-7.30932
2p15_ligand_298	-7.8271594
2p15_ligand_300	-6.919996
2p15_ligand_311	-7.7116423
2p15_ligand_313	-7.3859615
2p15_ligand_316	-9.334312
2p15_ligand_320	-7.3976994
2p15_ligand_324	-6.931772
2p15_ligand_325	-8.6917515
2p15_ligand_328	-7.6000504
2p15_ligand_339	-7.909595
2p15_ligand_342	-8.781122
2p15_ligand_347	-6.737243
2p15_ligand_348	-8.401615
2p15_ligand_350	-6.599184
2p15_ligand_367	-7.703301
2p15_ligand_36	-6.8330173
2p15_ligand_391	-7.2780085
2p15_ligand_394	-7.5088525
2p15_ligand_39	-6.2798743
2p15_ligand_42	-7.519039
2p15_ligand_436	-7.846135
2p15_ligand_437	-7.7796125
2p15_ligand_51	-6.7701488
2p15_ligand_57	-7.448546
2p15_ligand_65	-6.362053
2p15_ligand_66	-7.0215783
2p15_ligand_6	-6.6619015
2p15_ligand_86	-7.1724834
2p15_ligand_90	-6.865801
2p4y_ligand_103	-8.116703
2p4y_ligand_104	-6.6297593
2p4y_ligand_111	-7.4690957
2p4y_ligand_112	-8.431412
2p4y_ligand_113	-6.944144
2p4y_ligand_119	-6.732794
2p4y_ligand_120	-6.611754
2p4y_ligand_121	-5.855229
2p4y_ligand_125	-6.696524
2p4y_ligand_126	-7.203137
2p4y_ligand_130	-6.9617553
2p4y_ligand_132	-7.731479
2p4y_ligand_143	-5.7179885
2p4y_ligand_144	-7.287143
2p4y_ligand_145	-6.406031
2p4y_ligand_148	-7.4281926
2p4y_ligand_162	-10.820196
2p4y_ligand_166	-11.200728
2p4y_ligand_177	-8.531146
2p4y_ligand_188	-10.1429405
2p4y_ligand_190	-8.68374
2p4y_ligand_193	-9.775269
2p4y_ligand_196	-8.449631
2p4y_ligand_198	-9.780932
2p4y_ligand_200	-8.63249
2p4y_ligand_201	-7.513952
2p4y_ligand_213	-6.5625167
2p4y_ligand_216	-6.4277573
2p4y_ligand_223	-6.5200396
2p4y_ligand_228	-6.005635
2p4y_ligand_231	-5.8336596
2p4y_ligand_232	-5.785763
2p4y_ligand_234	-5.353861
2p4y_ligand_236	-8.184813
2p4y_ligand_23	-6.9316297
2p4y_ligand_245	-7.66297
2p4y_ligand_248	-5.776625
2p4y_ligand_250	-6.523181
2p4y_ligand_258	-5.86909
2p4y_ligand_260	-6.778293
2p4y_ligand_262	-9.001533
2p4y_ligand_266	-7.5132427
2p4y_ligand_267	-9.172616
2p4y_ligand_271	-7.228736
2p4y_ligand_283	-7.1657844
2p4y_ligand_289	-5.121101
2p4y_ligand_291	-6.084717
2p4y_ligand_293	-8.90002
2p4y_ligand_310	-8.06498
2p4y_ligand_321	-10.3496275
2p4y_ligand_324	-6.648527
2p4y_ligand_332	-8.601468
2p4y_ligand_339	-9.081037
2p4y_ligand_360	-9.712946
2p4y_ligand_362	-8.923264
2p4y_ligand_366	-8.976147
2p4y_ligand_367	-8.616297
2p4y_ligand_369	-9.516561
2p4y_ligand_36	-7.1646376
2p4y_ligand_371	-7.3787713
2p4y_ligand_376	-8.962232
2p4y_ligand_380	-9.07308
2p4y_ligand_382	-8.495578
2p4y_ligand_384	-9.759768
2p4y_ligand_385	-10.797466
2p4y_ligand_387	-8.599785
2p4y_ligand_389	-9.143499
