#code_ligand_num	score
4eky_ligand_102	-6.3253703
4eky_ligand_109	-5.9492216
4eky_ligand_122	-5.2991295
4eky_ligand_124	-5.8671002
4eky_ligand_130	-6.278392
4eky_ligand_148	-6.832548
4eky_ligand_155	-6.810231
4eky_ligand_15	-6.2200313
4eky_ligand_161	-7.335355
4eky_ligand_170	-6.5055766
4eky_ligand_174	-6.488943
4eky_ligand_180	-6.2212353
4eky_ligand_189	-7.22786
4eky_ligand_195	-6.6005406
4eky_ligand_200	-6.3186245
4eky_ligand_205	-4.86578
4eky_ligand_206	-7.1946397
4eky_ligand_208	-5.798307
4eky_ligand_211	-5.4171157
4eky_ligand_214	-5.249063
4eky_ligand_216	-7.0355277
4eky_ligand_221	-6.0488815
4eky_ligand_222	-4.973698
4eky_ligand_225	-7.128934
4eky_ligand_227	-5.316475
4eky_ligand_228	-5.8482394
4eky_ligand_231	-6.319282
4eky_ligand_235	-5.731239
4eky_ligand_237	-5.8056746
4eky_ligand_240	-4.948016
4eky_ligand_243	-5.73805
4eky_ligand_245	-5.5479875
4eky_ligand_246	-5.007266
4eky_ligand_249	-4.4727383
4eky_ligand_250	-5.775043
4eky_ligand_256	-6.966448
4eky_ligand_260	-6.86301
4eky_ligand_263	-6.208263
4eky_ligand_267	-6.5155344
4eky_ligand_271	-6.695203
4eky_ligand_280	-5.557035
4eky_ligand_286	-6.987035
4eky_ligand_288	-6.1430798
4eky_ligand_289	-6.0056653
4eky_ligand_290	-6.232054
4eky_ligand_293	-6.4298882
4eky_ligand_295	-4.803083
4eky_ligand_297	-7.4093513
4eky_ligand_298	-5.189201
4eky_ligand_299	-6.5243363
4eky_ligand_300	-6.4614205
4eky_ligand_309	-7.040353
4eky_ligand_310	-6.473312
4eky_ligand_319	-6.1633058
4eky_ligand_321	-6.1926646
4eky_ligand_332	-6.067587
4eky_ligand_334	-6.6013985
4eky_ligand_340	-6.5434303
4eky_ligand_343	-6.501821
4eky_ligand_349	-6.3140855
4eky_ligand_351	-4.9698215
4eky_ligand_359	-3.65547
4eky_ligand_361	-4.4845715
4eky_ligand_366	-5.017162
4eky_ligand_370	-5.1425166
4eky_ligand_371	-4.9601636
4eky_ligand_375	-4.8713336
4eky_ligand_377	-5.5636687
4eky_ligand_384	-3.7278063
4eky_ligand_389	-5.1472154
4eky_ligand_390	-3.2593114
4eky_ligand_395	-5.370172
4eky_ligand_396	-4.4089737
4eky_ligand_397	-6.260676
4eky_ligand_39	-5.4126253
4eky_ligand_400	-6.193339
4eky_ligand_409	-6.3401194
4eky_ligand_410	-6.9095135
4eky_ligand_414	-6.276137
4eky_ligand_422	-6.5078344
4eky_ligand_423	-6.9897356
4eky_ligand_426	-6.375232
4eky_ligand_431	-6.12839
4eky_ligand_434	-6.088193
4eky_ligand_441	-5.9515567
4eky_ligand_445	-6.764087
4eky_ligand_446	-5.2582617
4eky_ligand_460	-6.197454
4eky_ligand_464	-6.7303243
4eky_ligand_466	-6.2547593
4eky_ligand_467	-6.513114
4eky_ligand_486	-6.644352
4eky_ligand_52	-4.093239
4eky_ligand_5	-5.824683
4eky_ligand_62	-5.779419
4eky_ligand_63	-6.270891
4eky_ligand_6	-4.14228
4eky_ligand_73	-6.3163834
4eky_ligand_74	-6.1868143
4eky_ligand_8	-5.8402805
4eo8_ligand_103	-4.887206
4eo8_ligand_104	-5.4846816
4eo8_ligand_108	-4.406626
4eo8_ligand_109	-5.793983
4eo8_ligand_10	-4.4332676
4eo8_ligand_112	-6.0728984
4eo8_ligand_117	-5.024
4eo8_ligand_120	-3.6857405
4eo8_ligand_123	-5.9400744
4eo8_ligand_127	-5.1349745
4eo8_ligand_130	-5.0287976
4eo8_ligand_133	-5.2645583
4eo8_ligand_134	-5.5014553
4eo8_ligand_142	-5.1208434
4eo8_ligand_161	-6.3612566
4eo8_ligand_16	-4.594809
4eo8_ligand_18	-5.126581
4eo8_ligand_190	-7.6527057
4eo8_ligand_193	-6.689144
4eo8_ligand_195	-7.6265683
4eo8_ligand_196	-7.3813176
4eo8_ligand_198	-6.725457
4eo8_ligand_199	-6.7761335
4eo8_ligand_204	-4.6558022
4eo8_ligand_207	-4.6655273
4eo8_ligand_209	-5.7304807
4eo8_ligand_212	-5.4108996
4eo8_ligand_215	-4.9830093
4eo8_ligand_216	-4.5903063
4eo8_ligand_218	-5.271006
4eo8_ligand_223	-5.1957517
4eo8_ligand_227	-5.279988
4eo8_ligand_229	-5.4150124
4eo8_ligand_22	-3.9806778
4eo8_ligand_234	-4.5792713
4eo8_ligand_238	-5.754151
4eo8_ligand_243	-4.274585
4eo8_ligand_244	-4.33907
4eo8_ligand_245	-4.6137595
4eo8_ligand_247	-4.18496
4eo8_ligand_248	-4.669669
4eo8_ligand_24	-5.1295247
4eo8_ligand_250	-4.346546
4eo8_ligand_252	-6.2596693
4eo8_ligand_258	-7.1476197
4eo8_ligand_259	-7.0717726
4eo8_ligand_25	-3.855488
4eo8_ligand_26	-4.954335
4eo8_ligand_275	-5.7819023
4eo8_ligand_279	-7.2573347
4eo8_ligand_27	-5.241551
4eo8_ligand_292	-5.936111
4eo8_ligand_294	-5.7179
4eo8_ligand_29	-4.2609253
4eo8_ligand_302	-5.558868
4eo8_ligand_310	-6.494915
4eo8_ligand_312	-6.5360293
4eo8_ligand_316	-5.0447183
4eo8_ligand_320	-5.809932
4eo8_ligand_321	-6.139416
4eo8_ligand_335	-7.6327233
4eo8_ligand_337	-6.3675017
4eo8_ligand_339	-6.1231327
4eo8_ligand_33	-5.0070844
4eo8_ligand_345	-6.6081243
4eo8_ligand_346	-5.631695
4eo8_ligand_347	-5.948259
4eo8_ligand_34	-4.905148
4eo8_ligand_358	-6.8774056
4eo8_ligand_35	-6.4244075
4eo8_ligand_36	-4.906062
4eo8_ligand_38	-5.239146
4eo8_ligand_393	-6.138315
4eo8_ligand_397	-5.488509
4eo8_ligand_39	-4.5792847
4eo8_ligand_400	-4.6424108
4eo8_ligand_404	-5.862945
4eo8_ligand_40	-4.708385
4eo8_ligand_41	-6.4166503
4eo8_ligand_42	-5.0282536
4eo8_ligand_451	-6.4693894
4eo8_ligand_46	-4.0670915
4eo8_ligand_47	-4.1530957
4eo8_ligand_480	-5.56427
4eo8_ligand_49	-5.038691
4eo8_ligand_50	-4.941626
4eo8_ligand_52	-5.7793255
4eo8_ligand_54	-5.895075
4eo8_ligand_57	-3.9752278
4eo8_ligand_5	-5.246844
4eo8_ligand_60	-5.578886
4eo8_ligand_63	-5.5638638
4eo8_ligand_66	-5.0863757
4eo8_ligand_70	-5.816823
4eo8_ligand_78	-4.6033173
4eo8_ligand_81	-5.089322
4eo8_ligand_89	-7.309052
4eo8_ligand_8	-4.6012645
4eo8_ligand_97	-5.4373374
4eo8_ligand_9	-4.340519
4eor_ligand_106	-6.9304714
4eor_ligand_115	-6.7742386
4eor_ligand_122	-4.538104
4eor_ligand_124	-5.969411
4eor_ligand_132	-5.0204725
4eor_ligand_135	-5.1315746
4eor_ligand_137	-5.7306843
4eor_ligand_141	-6.710775
4eor_ligand_143	-6.0173435
4eor_ligand_145	-5.597493
4eor_ligand_149	-7.371523
4eor_ligand_154	-7.2537446
4eor_ligand_162	-7.8414035
4eor_ligand_167	-5.4047823
4eor_ligand_169	-8.218975
