#code_ligand_num	score
3p5o_ligand_10	-5.2490716
3p5o_ligand_117	-6.2892923
3p5o_ligand_123	-5.0396104
3p5o_ligand_129	-5.8791046
3p5o_ligand_12	-6.5274973
3p5o_ligand_139	-5.791656
3p5o_ligand_144	-5.5153475
3p5o_ligand_156	-9.954038
3p5o_ligand_160	-8.540342
3p5o_ligand_164	-9.425837
3p5o_ligand_166	-7.492492
3p5o_ligand_171	-7.4125695
3p5o_ligand_172	-9.248036
3p5o_ligand_173	-9.321021
3p5o_ligand_174	-9.390301
3p5o_ligand_187	-8.897874
3p5o_ligand_18	-6.3691525
3p5o_ligand_192	-7.418833
3p5o_ligand_193	-7.3151417
3p5o_ligand_196	-7.8451405
3p5o_ligand_197	-8.516159
3p5o_ligand_204	-7.0608788
3p5o_ligand_208	-6.77005
3p5o_ligand_210	-5.015258
3p5o_ligand_213	-5.8920245
3p5o_ligand_218	-8.29405
3p5o_ligand_219	-4.953531
3p5o_ligand_21	-5.2315254
3p5o_ligand_220	-7.2679234
3p5o_ligand_225	-6.789391
3p5o_ligand_226	-5.870229
3p5o_ligand_227	-8.077021
3p5o_ligand_229	-6.3402557
3p5o_ligand_230	-5.723572
3p5o_ligand_236	-8.928056
3p5o_ligand_239	-8.1516285
3p5o_ligand_23	-5.7189136
3p5o_ligand_240	-7.5090756
3p5o_ligand_242	-7.3658376
3p5o_ligand_243	-6.698326
3p5o_ligand_244	-6.779866
3p5o_ligand_245	-6.169758
3p5o_ligand_246	-5.896954
3p5o_ligand_247	-6.0774198
3p5o_ligand_248	-5.334614
3p5o_ligand_24	-5.619835
3p5o_ligand_253	-8.936811
3p5o_ligand_255	-7.450671
3p5o_ligand_257	-8.673428
3p5o_ligand_258	-9.712125
3p5o_ligand_25	-5.7678432
3p5o_ligand_260	-8.158177
3p5o_ligand_264	-9.600785
3p5o_ligand_273	-7.728298
3p5o_ligand_276	-8.363227
3p5o_ligand_27	-6.5864244
3p5o_ligand_281	-6.873945
3p5o_ligand_286	-8.956234
3p5o_ligand_293	-9.2432575
3p5o_ligand_2	-6.371561
3p5o_ligand_300	-8.337379
3p5o_ligand_307	-8.536003
3p5o_ligand_310	-9.983472
3p5o_ligand_312	-9.190901
3p5o_ligand_324	-8.690552
3p5o_ligand_326	-9.155324
3p5o_ligand_32	-5.6431413
3p5o_ligand_332	-7.649927
3p5o_ligand_333	-7.94559
3p5o_ligand_337	-8.164385
3p5o_ligand_342	-8.580809
3p5o_ligand_348	-8.454782
3p5o_ligand_349	-8.856772
3p5o_ligand_36	-5.7343464
3p5o_ligand_371	-7.6868634
3p5o_ligand_386	-8.421266
3p5o_ligand_39	-5.5826693
3p5o_ligand_3	-5.601376
3p5o_ligand_400	-9.380638
3p5o_ligand_402	-8.137239
3p5o_ligand_40	-6.619929
3p5o_ligand_41	-5.739523
3p5o_ligand_431	-7.938035
3p5o_ligand_44	-6.26758
3p5o_ligand_47	-5.808443
3p5o_ligand_4	-5.27582
3p5o_ligand_53	-5.6877713
3p5o_ligand_55	-5.865082
3p5o_ligand_62	-5.1762404
3p5o_ligand_65	-8.929843
3p5o_ligand_6	-5.3164396
3p5o_ligand_75	-8.567007
3p5o_ligand_78	-5.1790514
3p5o_ligand_79	-5.3929915
3p5o_ligand_80	-4.8705354
3p5o_ligand_81	-5.4235015
3p5o_ligand_82	-5.172392
3p5o_ligand_88	-5.5932846
3p5o_ligand_90	-5.2466073
3p5o_ligand_99	-8.40768
3prs_ligand_109	-8.416337
3prs_ligand_10	-5.8371897
3prs_ligand_112	-10.452884
3prs_ligand_113	-6.641914
3prs_ligand_117	-7.8047695
3prs_ligand_119	-7.9504685
3prs_ligand_130	-6.9411974
3prs_ligand_131	-8.0307045
3prs_ligand_132	-10.131434
3prs_ligand_133	-8.82025
3prs_ligand_135	-6.916721
3prs_ligand_138	-7.9656873
3prs_ligand_139	-5.684899
3prs_ligand_145	-7.63693
3prs_ligand_149	-10.911025
3prs_ligand_161	-9.9067335
3prs_ligand_166	-12.186829
3prs_ligand_170	-10.689642
3prs_ligand_171	-13.397664
3prs_ligand_176	-9.599441
3prs_ligand_17	-6.9995365
3prs_ligand_181	-12.477916
3prs_ligand_187	-17.311161
3prs_ligand_188	-12.681823
3prs_ligand_18	-8.731049
3prs_ligand_192	-14.839446
3prs_ligand_194	-8.165211
3prs_ligand_195	-11.618732
3prs_ligand_196	-13.172054
3prs_ligand_198	-19.387184
3prs_ligand_199	-11.864298
3prs_ligand_203	-6.3867207
3prs_ligand_210	-8.307069
3prs_ligand_211	-7.896739
3prs_ligand_214	-7.397235
3prs_ligand_215	-7.5523014
3prs_ligand_217	-6.3191905
3prs_ligand_223	-8.534023
3prs_ligand_224	-9.72465
3prs_ligand_225	-9.678285
