#code_ligand_num	score
3gc5_ligand_287	-7.9590554
3gc5_ligand_290	-5.9826202
3gc5_ligand_291	-7.081172
3gc5_ligand_293	-5.953966
3gc5_ligand_295	-6.9417133
3gc5_ligand_296	-7.1820507
3gc5_ligand_300	-7.808187
3gc5_ligand_303	-6.556746
3gc5_ligand_304	-6.478726
3gc5_ligand_305	-6.157521
3gc5_ligand_308	-6.141771
3gc5_ligand_309	-6.518233
3gc5_ligand_310	-6.513724
3gc5_ligand_311	-6.285856
3gc5_ligand_314	-6.361014
3gc5_ligand_315	-6.312979
3gc5_ligand_316	-6.296482
3gc5_ligand_317	-6.1956654
3gc5_ligand_318	-6.5745425
3gc5_ligand_321	-6.538749
3gc5_ligand_322	-6.4769373
3gc5_ligand_323	-6.4480486
3gc5_ligand_325	-5.9877305
3gc5_ligand_329	-7.2312593
3gc5_ligand_330	-6.659213
3gc5_ligand_332	-7.1535134
3gc5_ligand_333	-6.5919094
3gc5_ligand_334	-5.5556364
3gc5_ligand_335	-6.563472
3gc5_ligand_338	-7.1873655
3gc5_ligand_339	-6.5221043
3gc5_ligand_340	-6.861317
3gc5_ligand_341	-6.5519004
3gc5_ligand_348	-5.8695593
3gc5_ligand_350	-6.1541724
3gc5_ligand_365	-5.5859847
3gc5_ligand_367	-5.59329
3gc5_ligand_370	-6.0788546
3gc5_ligand_377	-6.8089743
3gc5_ligand_380	-5.6913013
3gc5_ligand_391	-6.134955
3gc5_ligand_396	-6.9634247
3gc5_ligand_405	-5.9585266
3gc5_ligand_420	-7.7442813
3gc5_ligand_437	-6.4002256
3gc5_ligand_439	-5.597185
3gc5_ligand_453	-6.9379797
3gc5_ligand_486	-7.590828
3gc5_ligand_56	-5.628707
3gc5_ligand_94	-7.23398
3ge7_ligand_10	-5.572273
3ge7_ligand_117	-6.4499273
3ge7_ligand_118	-5.4991965
3ge7_ligand_126	-4.731721
3ge7_ligand_12	-5.888379
3ge7_ligand_133	-6.226517
3ge7_ligand_147	-5.43499
3ge7_ligand_148	-5.142302
3ge7_ligand_155	-7.726663
3ge7_ligand_158	-8.733904
3ge7_ligand_159	-7.533112
3ge7_ligand_160	-7.203596
3ge7_ligand_162	-6.4711413
3ge7_ligand_165	-7.3594074
3ge7_ligand_169	-7.2404346
3ge7_ligand_171	-8.243314
3ge7_ligand_173	-8.035457
3ge7_ligand_176	-7.677793
3ge7_ligand_183	-7.0582213
3ge7_ligand_187	-7.6147842
3ge7_ligand_189	-7.070051
3ge7_ligand_190	-8.479422
3ge7_ligand_192	-6.7606783
3ge7_ligand_193	-6.9581265
3ge7_ligand_197	-7.7528496
3ge7_ligand_198	-7.064012
3ge7_ligand_19	-6.1518693
3ge7_ligand_200	-8.100374
3ge7_ligand_201	-6.4402976
3ge7_ligand_202	-6.96607
3ge7_ligand_207	-5.0465417
3ge7_ligand_211	-7.290999
3ge7_ligand_219	-6.251492
3ge7_ligand_225	-5.135207
3ge7_ligand_226	-5.122927
3ge7_ligand_227	-6.933338
3ge7_ligand_229	-5.5987945
3ge7_ligand_230	-6.800403
3ge7_ligand_234	-6.238684
3ge7_ligand_238	-7.287788
3ge7_ligand_240	-5.953214
3ge7_ligand_241	-5.2532935
3ge7_ligand_247	-6.473328
3ge7_ligand_248	-6.319457
3ge7_ligand_249	-6.173874
3ge7_ligand_250	-5.9945188
3ge7_ligand_25	-7.676232
3ge7_ligand_260	-6.750444
3ge7_ligand_266	-7.9209423
3ge7_ligand_267	-6.768473
3ge7_ligand_268	-6.914298
3ge7_ligand_271	-7.325229
3ge7_ligand_276	-8.238667
3ge7_ligand_279	-7.2329607
3ge7_ligand_283	-8.033159
3ge7_ligand_286	-6.851712
3ge7_ligand_293	-6.4588017
3ge7_ligand_294	-7.72208
3ge7_ligand_296	-7.600808
3ge7_ligand_299	-6.7539487
