#code_ligand_num	score
3utu_ligand_255	-10.027573
3utu_ligand_257	-10.224908
3utu_ligand_258	-9.055862
3utu_ligand_25	-7.422897
3utu_ligand_262	-8.232966
3utu_ligand_266	-8.998771
3utu_ligand_273	-9.011077
3utu_ligand_278	-8.888935
3utu_ligand_27	-8.983615
3utu_ligand_286	-7.296861
3utu_ligand_289	-7.6894145
3utu_ligand_290	-7.859218
3utu_ligand_295	-6.854349
3utu_ligand_298	-9.143309
3utu_ligand_306	-8.051749
3utu_ligand_307	-8.690541
3utu_ligand_309	-8.508715
3utu_ligand_314	-10.269243
3utu_ligand_315	-9.473034
3utu_ligand_316	-9.101862
3utu_ligand_319	-9.076521
3utu_ligand_321	-6.4195356
3utu_ligand_322	-7.026262
3utu_ligand_323	-8.0406
3utu_ligand_326	-10.561901
3utu_ligand_330	-7.5147147
3utu_ligand_331	-9.106285
3utu_ligand_336	-7.953036
3utu_ligand_339	-9.177109
3utu_ligand_342	-7.7610145
3utu_ligand_343	-8.595068
3utu_ligand_345	-8.456228
3utu_ligand_346	-11.274681
3utu_ligand_347	-7.6928864
3utu_ligand_34	-7.553225
3utu_ligand_37	-9.314478
3utu_ligand_388	-9.902583
3utu_ligand_395	-9.646684
3utu_ligand_409	-9.713982
3utu_ligand_426	-10.005276
3utu_ligand_450	-10.32284
3utu_ligand_475	-10.8574705
3utu_ligand_480	-9.671305
3utu_ligand_55	-8.701062
3utu_ligand_59	-6.7627444
3utu_ligand_76	-8.483264
3utu_ligand_77	-8.096242
3utu_ligand_84	-7.35812
3utu_ligand_87	-8.061712
3utu_ligand_93	-8.462327
3uuo_ligand_121	-5.2741666
3uuo_ligand_129	-5.2429285
3uuo_ligand_14	-6.050778
3uuo_ligand_161	-7.8359613
3uuo_ligand_177	-7.5103636
3uuo_ligand_189	-7.7208257
3uuo_ligand_191	-6.6714644
3uuo_ligand_194	-6.886862
3uuo_ligand_195	-6.396203
3uuo_ligand_198	-7.3480935
3uuo_ligand_199	-6.6719246
3uuo_ligand_205	-5.355255
3uuo_ligand_209	-6.060978
3uuo_ligand_213	-6.315016
3uuo_ligand_215	-5.113525
3uuo_ligand_216	-4.967563
3uuo_ligand_219	-6.3698506
3uuo_ligand_220	-5.3587894
3uuo_ligand_221	-5.517083
3uuo_ligand_222	-5.6038213
